ID	prepost	pair	Min	Max	Crossover	Slope	PointVar	exitflag	R	LS	AR	N	status	comment
2	posttraining	indent-intent	2.63786249852494	98.4407102633224	3.92363796232638	114.186236269563	13.4957932412538	2090	0.956379018725052	182.136435210673	-0.216511261216555	28	1	
2	posttraining	kata-katta	27.5427436602234	99.9999894858394	6.86840958301561	82.0262726849556	43.1960754890959	2080	0.363019339926685	1865.90093765967	-0.410675097335171	26	1	
2	posttraining	reason-risen	14.9916820007244	77.5012374119332	3.18850259492718	96.3262413893726	26.3217168264185	2090	0.73800133296349	692.832776690165	0.0572151398969792	28	1	
2	posttraining	toru-tooru	24.1248610058102	99.9999999672468	3.48852323494059	131.316318653942	28.2777008036798	2060	0.795409696255875	799.628362742433	0.0849829798771402	28	1	
2	pretraining	indent-intent	5.20360930960675	99.9999996945813	3.55416914593923	68.0969087395248	10.9673201435528	2070	0.967830768523964	120.282111131178	0.160042381573396	28	1	
2	pretraining	kata-katta	8.17805073376668	66.3603158301013	4.25897948384094	93.0891059103365	34.3323842539645	2080	0.632526456794755	1178.71260856187	-0.345884407245816	27	1	
2	pretraining	reason-risen	8.57527225686793	68.9324300612581	5.46961511158967	64.5138868137408	21.6262456316521	2090	0.762276788397984	467.694500120554	-0.453889440313484	28	1	
2	pretraining	toru-tooru	6.37951416138094e-08	95.0430702034386	3.56244362323214	159.775925672002	4.54607727907659	2080	0.995273857958877	20.6668186273364	0.0385822022730993	28	1	
3	posttraining	indent-intent	7.85639286959849e-08	99.9999999109307	3.48782651081402	187.190054642223	1.12210465358506	2050	0.999773446090681	1.25911885359725	0.550054169001733	28	1	
3	posttraining	kata-katta	4.12015168649305e-08	99.9999999708237	2.99963738524304	33.584973292965	29.9301998175558	2060	0.777927408153368	895.816861118817	-0.0737800163524935	28	1	
3	posttraining	reason-risen	3.55709595361427	99.9999999319699	3.68829762849593	49.0055829845436	21.2276876653256	2060	0.891097852591369	450.614723616615	-0.219658123682051	27	1	
3	posttraining	toru-tooru	2.64351498913129e-07	99.9999986384759	3.4950265672364	184.389827906949	1.28285270874433	2080	0.999665846699373	1.64571107233266	0.53843939930993	26	1	
3	pretraining	indent-intent	1.23684735164923	93.909548075136	2.3679313031254	153.434051861795	7.14233737725789	2020	0.982719259946	51.0129832105751	0.0315224193102168	26	1	
3	pretraining	kata-katta	6.36027084625467	85.3560146838453	4.72649068447706	129.026931823059	30.20151145817	2090	0.773577553515115	912.131294357974	-0.201662298529875	27	1	
3	pretraining	reason-risen	14.4793762882557	79.7514501309896	4.37101040616364	84.6147520593807	20.668676722745	2070	0.832463619787154	427.194197469342	-0.0630630358270214	27	1	
3	pretraining	toru-tooru	9.85180506063443e-08	99.6610386352862	3.50639042133697	184.178685174947	1.20401199932765	2030	0.999717308850943	1.44964489452497	0.33539181342815	26	1	
4	posttraining	indent-intent	24.7221966212127	77.0620249941976	4.10559594915203	8.65328817999476	4.56917855223685	2090	0.95037324584021	20.8773926422212	-0.220856871945927	22	1	
4	posttraining	kata-katta	19.1238564267402	75.4355867015953	3.33890871389584	6.7819688715592	5.72306839005233	2060	0.9002404929557	32.7535117972162	-0.369511366212057	28	1	
4	posttraining	reason-risen	15.5374176638817	96.3750570535632	4.96792933808965	9.90244495340099	5.86608461398991	2070	0.944280946159762	34.4109486984891	-0.0908149725400756	26	1	
4	posttraining	toru-tooru	12.8765089503356	68.7024957034589	2.70077463770583	21.571372390738	6.88263806228182	2100	0.945004702689341	47.3707066963705	-0.0985824667674417	28	1	
4	pretraining	indent-intent	1.62144436921775	88.5371222862391	3.03548433007149	13.7116062144961	7.95679747447363	2080	0.938454128887007	63.3106260497899	0.0283657481178482	28	1	
4	pretraining	kata-katta	2.07327076395813e-07	66.0693913819246	1.59229248319668	10.012382280963	8.96859490145895	2040	0.821967688641518	80.4356945064754	0.0975591852694404	28	1	
4	pretraining	reason-risen	3.92467618808032	99.9999999781138	4.88917635646247	15.9981321110058	11.405040550117	2030	0.911686696114228	130.074949949814	0.162655162056121	27	1	
4	pretraining	toru-tooru	4.27887655973791e-07	76.0886401156505	2.36180464280286	18.50752412219	9.19640009144199	2050	0.920879260026605	84.5737746418742	-0.171165477624024	28	1	
6	posttraining	indent-intent	10.2895116941183	81.2231158267265	3.04662280777614	56.5575336238791	15.9340395807686	2100	0.886176155305413	253.893617361502	0.0349569721507043	28	1	
6	posttraining	kata-katta	9.71284462313517	99.9999999461412	5.15418461821374	11.6206305355635	15.8489117332211	2080	0.780260546869418	251.188003127433	-0.176693976482804	27	1	
6	posttraining	reason-risen	2.89890404753294	99.9999999736941	4.98178153962294	29.0224283692393	12.0879433664263	2030	0.944383902116573	146.11837482993	-0.0931331093497289	28	1	
6	posttraining	toru-tooru	5.84656447699672e-08	99.9999995505752	2.80281196794719	27.4176839155708	21.2736247711304	2020	0.837655126419612	452.567110902854	-0.163860403668254	28	1	
6	pretraining	indent-intent	4.51301340121554	96.4559696347054	2.63760495366578	87.3438105957666	16.9704048640882	2100	0.910223052345912	287.99464125107	-0.144297372459982	27	1	
6	pretraining	kata-katta	14.050603388091	77.8899048452173	5.30950865853319	19.6633010229091	27.5177241458749	2080	0.607698513445105	757.225142168466	-0.0466351894686093	28	1	
6	pretraining	reason-risen	0.478376026554457	86.8375954760191	4.27824926988899	42.042649065463	13.2719067047305	2040	0.937276252007988	176.143507579071	-0.285598270530722	27	1	
6	pretraining	toru-tooru	6.68575916355041	93.5462356372384	2.74462158796766	86.1394688380585	20.6242853838888	2060	0.873172105095087	425.361147596089	-0.328433068913855	28	1	
