sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.282,307.5,184.6,270.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.292,304.6,178.2,266.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.302,291.3,174.7,256.3,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.312,271.6,173.3,242.7,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.322,245.4,NA,NA,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.332,229.7,152.9,207.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.342,218.1,152.8,199.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.352,210.4,152.4,194.1,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.362,200.3,150.4,186.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,2,0.372,187,147.3,176.2,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.082,280.8,312,296,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.092,287.2,319.5,302.9,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.102,293.1,327.1,309.6,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.112,298.7,334.2,316,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.122,302.3,338.6,320,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.132,304.7,341.3,322.5,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.142,305.8,342.8,323.8,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.152,308.4,343.4,325.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.162,310.6,343,326.4,log
toru_origin_tooru_dur_4,tooru_origin_toru_dur_4,dur_4,3,0.172,312.3,341.3,326.5,log
