ID,age,gender,language1,language2,language3,language4,proficiency1,proficiency2,proficiency3,proficiency4,immersion1,immersion2,immersion3,immersion4,dominance1,dominance2,dominance3,dominance4,ratio1,ratio2,ratio3,ratio4,PD1,PD2,PD3,PD4,MLD_A
161,23,Female,English,,,,1,0,0,0,0.93,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
162,38,Female,ENglish,,,,1,0,0,0,0.96,0,0,0,0.73,0,0,0,1,0,0,0,1,0,0,0,0
163,33,Male,English,Spanish,,,0.86,0.54,0,0,0.96,0.34,0,0,0.57,0.27,0,0,1,0.47,0,0,0.68,0.32,0,0,0.9
167,28,Female,English,,,,1,0,0,0,1,0,0,0,0.59,0,0,0,1,0,0,0,1,0,0,0,0
168,32,Male,English,,,,1,0,0,0,1,0,0,0,0.61,0,0,0,1,0,0,0,1,0,0,0,0
169,34,Female,English,,,,1,0,0,0,0.96,0,0,0,0.66,0,0,0,1,0,0,0,1,0,0,0,0
170,25,Female,English,Spanish,,,1,0.39,0,0,0.95,0.34,0,0,0.59,0.2,0,0,1,0.33,0,0,0.75,0.25,0,0,0.81
171,19,Female,English,,,,1,0,0,0,0.95,0,0,0,0.58,0,0,0,1,0,0,0,1,0,0,0,0
172,33,Male,English,,,,1,0,0,0,1,0,0,0,0.66,0,0,0,1,0,0,0,1,0,0,0,0
174,30,Female,English,Spanish,,,0.89,0.21,0,0,0.96,0.18,0,0,0.52,0.11,0,0,1,0.21,0,0,0.83,0.17,0,0,0.66
175,36,Male,English,,,,0.86,0,0,0,0.95,0,0,0,0.48,0,0,0,1,0,0,0,1,0,0,0,0
176,32,Female,English,,,,1,0,0,0,0.96,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
177,35,Female,English,,,,1,0,0,0,0.93,0,0,0,0.58,0,0,0,1,0,0,0,1,0,0,0,0
178,33,Female,English,,,,0.93,0,0,0,0.93,0,0,0,0.55,0,0,0,1,0,0,0,1,0,0,0,0
179,35,Female,English,,,,1,0,0,0,0.88,0,0,0,0.68,0,0,0,1,0,0,0,1,0,0,0,0
181,32,Male,English,,,,0.86,0,0,0,0.95,0,0,0,0.75,0,0,0,1,0,0,0,1,0,0,0,0
182,26,Male,English,,,,1,0,0,0,1,0,0,0,0.78,0,0,0,1,0,0,0,1,0,0,0,0
183,28,Male,English,,,,0.96,0,0,0,0.96,0,0,0,0.72,0,0,0,1,0,0,0,1,0,0,0,0
184,35,Male,English,,,,0.96,0,0,0,0.94,0,0,0,0.63,0,0,0,1,0,0,0,1,0,0,0,0
186,24,Female,english,,,,1,0,0,0,0.98,0,0,0,0.73,0,0,0,1,0,0,0,1,0,0,0,0
187,40,Male,English,,,,1,0,0,0,0.96,0,0,0,0.62,0,0,0,1,0,0,0,1,0,0,0,0
188,26,Female,English,,,,1,0,0,0,0.94,0,0,0,0.71,0,0,0,1,0,0,0,1,0,0,0,0
189,32,Male,English,Spanish,,,0.96,0.43,0,0,0.97,0.27,0,0,0.64,0.22,0,0,1,0.34,0,0,0.75,0.25,0,0,0.82
190,21,Female,English,,,,1,0,0,0,0.93,0,0,0,0.8,0,0,0,1,0,0,0,1,0,0,0,0
191,31,Male,English,French,,,0.89,0.61,0,0,0.94,0.34,0,0,0.56,0.35,0,0,1,0.62,0,0,0.62,0.38,0,0,0.96
194,37,Male,English,,,,1,0,0,0,1,0,0,0,0.7,0,0,0,1,0,0,0,1,0,0,0,0
197,32,Male,English,,,,0.96,0,0,0,0.96,0,0,0,0.67,0,0,0,1,0,0,0,1,0,0,0,0
198,41,Male,English,,,,0.89,0,0,0,0.93,0,0,0,0.58,0,0,0,1,0,0,0,1,0,0,0,0
199,29,Male,English,,,,0.96,0,0,0,0.92,0,0,0,0.65,0,0,0,1,0,0,0,1,0,0,0,0
200,38,Male,English,,,,1,0,0,0,0.98,0,0,0,0.61,0,0,0,1,0,0,0,1,0,0,0,0
202,24,Male,english,,,,1,0,0,0,0.82,0,0,0,0.77,0,0,0,1,0,0,0,1,0,0,0,0
203,29,Female,english,,,,1,0,0,0,0.94,0,0,0,0.65,0,0,0,1,0,0,0,1,0,0,0,0
