ID,age,gender,MLD_P,context_hours_watching,scaled_proportions_watching,langs_per_context_watching,context_entropies_watching,context_hours_listening,scaled_proportions_listening,langs_per_context_listening,context_entropies_listening,context_hours_games,scaled_proportions_games,langs_per_context_games,context_entropies_games,context_hours_internet,scaled_proportions_internet,langs_per_context_internet,context_entropies_internet,context_hours_home,scaled_proportions_home,langs_per_context_home,context_entropies_home,context_hours_family,scaled_proportions_family,langs_per_context_family,context_entropies_family,context_hours_social,scaled_proportions_social,langs_per_context_social,context_entropies_social,context_hours_work_school,scaled_proportions_work_school,langs_per_context_work_school,context_entropies_work_school,context_hours_out_of_home,scaled_proportions_out_of_home,langs_per_context_out_of_home,context_entropies_out_of_home,context_hours_other,scaled_proportions_other,langs_per_context_other,context_entropies_other
5627,23,Female,0.83,3,0.12,3,1.5,0,0,0,0,4,0.17,2,1,6,0.25,3,1.25,20,0.83,1,0,8,0.33,1,0,2,0.08,2,1,0,0,0,0,2,0.08,2,1,0,0,0,0
5730,32,Non-binary,0,5,0.21,1,0,0,0,0,0,1,0.04,1,0,8,0.33,0,0,22,0.92,1,0,1,0.04,1,0,5,0.21,1,0,0,0,0,0,0,0,0,0,,,0,0
5768,26,Male,0,3,0.12,1,0,0,0,0,0,0,0,0,0,3,0.12,1,0,3,0.12,1,0,3,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5592,40,Female,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,2,0.08,1,0,24,1,1,0,2,0.08,1,0,2,0.08,1,0,0,0,0,0,2,0.08,1,0,,,0,0
5787,33,Male,0.07,1,0.04,1,0,3,0.12,3,0.57,8,0.33,1,0,2,0.08,1,0,14,0.58,1,0,1,0.04,1,0,1,0.04,1,0,7,0.29,1,0,1,0.04,1,0,0,0,0,0
5710,26,Female,0,2,0.08,1,0,2,0.08,1,0,1,0.04,1,0,4,0.17,1,0,12,0.5,1,0,12,0.5,1,0,1,0.04,1,0,8,0.33,1,0,2,0.08,1,0,,,0,0
5816,39,Male,0.15,2,0.08,2,0.81,1,0.04,1,0,2,0.08,2,1,2,0.08,1,0,3,0.12,1,0,3,0.12,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,0,0,0,0
5838,37,Male,0,6,0.25,1,0,2,0.08,1,0,10,0.42,1,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
5837,32,Male,0,2,0.08,1,0,1,0.04,1,0,0,0,0,0,3,0.12,1,0,4,0.17,1,0,0,0,0,0,2,0.08,1,0,8,0.33,1,0,2,0.08,1,0,0,0,0,0
5737,36,Male,0,4.2,0.18,1,0,1,0.04,1,0,1,0.04,1,0,3,0.12,1,0,23,0.96,1,0,23,0.96,1,0,0,0,0,0,0,0,0,0,1,0.04,1,0,,,0,0
6045,39,Female,0,5,0.21,1,0,2,0.08,0,0,1,0.04,0,0,1,0.04,0,0,2,0.08,0,0,2,0.08,0,0,2,0.08,0,0,2,0.08,0,0,2,0.08,0,0,0,0,0,0
6108,27,Male,0.46,2,0.08,1,0,1,0.04,1,0,0.5,0.02,1,0,1,0.04,2,1,8,0.33,1,0,8,0.33,1,0,2,0.08,2,1,8,0.33,2,1,1,0.04,1,0,0,0,0,0
5613,30,Male,0.83,2,0.08,3,1.49,1,0.04,3,1.37,2,0.08,2,0.81,3,0.12,2,0.92,4.5,0.19,3,1.22,1,0.04,2,0.88,2.5,0.1,2,0.72,2,0.08,2,0.81,2,0.08,2,0.72,0,0,0,0
6131,35,Male,0,4,0.17,1,0,2,0.08,1,0,1,0.04,1,0,4,0.17,1,0,12,0.5,1,0,0,0,0,0,4,0.17,1,0,0,0,0,0,1,0.04,1,0,,,0,0
5904,37,Female,0,2,0.08,1,0,0,0,0,0,4,0.17,1,0,2,0.08,1,0,1,0.04,1,0,0,0,0,0,1,0.04,1,0,1,0.04,1,0,1,0.04,1,0,,,0,0
5695,38,Male,0,3,0.12,1,0,4,0.17,1,0,3,0.12,1,0,4,0.17,1,0,16,0.67,1,0,5,0.21,1,0,5,0.21,1,0,10,0.42,1,0,4,0.17,1,0,0,0,0,0
6106,40,Male,0.51,1,0.04,1,0,1,0.04,2,1,1,0.04,1,0,1,0.04,2,0.81,14,0.58,1,0,0,0,0,0,2,0.08,2,0.81,8,0.33,3,0.96,2,0.08,2,0.54,,,0,0
5617,30,Male,0.7,2,0.08,3,1.05,1,0.04,3,1.16,2,0.08,2,0.81,2,0.08,2,0.81,3,0.12,3,1.25,2,0.08,2,0.72,2,0.08,2,0.81,1,0.04,2,0.47,2,0.08,3,1.5,0,0,0,0
6034,35,Female,0,1,0.04,1,0,3,0.12,1,0,1,0.04,1,0,0,0,0,0,22,0.92,1,0,5,0.21,1,0,2,0.08,1,0,8,0.33,1,0,0,0,0,0,1,0.04,1,0
6203,25,Female,0.28,2,0.08,1,0,2,0.08,1,0,2,0.08,1,0,3,0.12,2,0.65,17,0.71,1,0,20,0.83,1,0,1,0.04,1,0,3,0.12,2,0.65,3,0.12,2,0.92,0,0,0,0
6085,39,Female,0.51,1,0.04,2,0.72,3,0.12,2,0.39,0,0,0,0,2,0.08,2,0.72,10,0.42,1,0,1,0.04,1,0,2,0.08,1,0,8,0.33,2,1,2,0.08,2,0.5,0,0,0,0
6015,36,Male,0,1,0.04,1,0,1,0.04,1,0,0,0,0,0,2,0.08,1,0,8,0.33,1,0,0,0,0,0,1,0.04,1,0,4,0.17,1,0,1,0.04,1,0,0,0,0,0
