ID	pair	second_dim_step	first_dim_step	avg_response	pred
5031	indent-intent	1	1	8.33333333333333	18.2418055089409
5031	indent-intent	2	1	10	18.2427022815043
5031	indent-intent	3	1	14.6666666666667	18.2437710988851
5031	indent-intent	4	1	12.5	18.2450449601763
5031	indent-intent	5	1	15.3333333333333	18.2465631907099
5031	indent-intent	1	2	24	18.4562597170455
5031	indent-intent	2	2	22.3333333333333	18.4981356049972
5031	indent-intent	3	2	19	18.5479750382879
5031	indent-intent	4	2	26	18.6072761361606
5031	indent-intent	5	2	32.6666666666667	18.6778120464077
5031	indent-intent	1	3	24	27.1405001757667
5031	indent-intent	2	3	33	28.5727949077173
5031	indent-intent	3	3	35.6666666666667	30.1854877414326
5031	indent-intent	4	3	28.3333333333333	31.9852828105368
5031	indent-intent	5	3	29.3333333333333	33.9741343934614
5031	indent-intent	1	4	66.6666666666667	74.7558207288068
5031	indent-intent	2	4	83	75.8328887016483
5031	indent-intent	3	4	82.6666666666667	76.7687402132379
5031	indent-intent	4	4	67	77.5777126106078
5031	indent-intent	5	4	91.6666666666667	78.2738997620282
5031	indent-intent	1	5	59.3333333333333	82.005494765375
5031	indent-intent	2	5	78	82.0341093050852
5031	indent-intent	3	5	74.6666666666667	82.0581369159821
5031	indent-intent	4	5	77.3333333333333	82.0783102108263
5031	indent-intent	5	5	92	82.0952455826944
5031	indent-intent	1	6	89.3333333333333	82.1798513502175
5031	indent-intent	2	6	83	82.1804626983654
5031	indent-intent	3	6	86.3333333333333	82.1809756326063
5031	indent-intent	4	6	72.3333333333333	82.1814059942451
5031	indent-intent	5	6	87	82.1817670750339
5031	indent-intent	1	7	81	82.1835681595431
5031	indent-intent	2	7	84	82.1835811569248
5031	indent-intent	3	7	92	82.1835920618199
5031	indent-intent	4	7	84	82.1836012111033
5031	indent-intent	5	7	84.6666666666667	82.1836088874159
5031	kata-katta	1	1	34.6666666666667	35.9381370239203
5031	kata-katta	2	1	39	35.9399518679584
5031	kata-katta	3	1	46.5	35.950751662448
5031	kata-katta	4	1	39.3333333333333	36.0148224944673
5031	kata-katta	5	1	40.6666666666667	36.3881295246333
5031	kata-katta	1	2	24.6666666666667	35.9402538929123
5031	kata-katta	2	2	54.6666666666667	35.9525480304724
5031	kata-katta	3	2	39.6666666666667	36.025447065673
5031	kata-katta	4	2	24	36.4489313533946
5031	kata-katta	5	2	38.3333333333333	38.644689251815
5031	kata-katta	1	3	49.3333333333333	35.9545927826396
5031	kata-katta	2	3	19.3333333333333	36.0375294376467
5031	kata-katta	3	3	29.6666666666667	36.5177027236297
5031	kata-katta	4	3	21.6666666666667	38.9638284372158
5031	kata-katta	5	3	45	46.3139036680266
5031	kata-katta	1	4	37.3333333333333	36.0512675144762
5031	kata-katta	2	4	22.6666666666667	36.5954199336443
5031	kata-katta	3	4	63.3333333333333	39.3133966061659
5031	kata-katta	4	4	59	46.9719081619646
5031	kata-katta	5	4	39.3333333333333	53.7640147591985
5031	kata-katta	1	5	32.3333333333333	36.6831595256815
5031	kata-katta	2	5	59.3333333333333	39.6945921834692
5031	kata-katta	3	5	40.5	47.6227792667791
5031	kata-katta	4	5	55.3333333333333	54.0375512746064
5031	kata-katta	5	5	66.6666666666667	55.8757288150372
5031	kata-katta	1	6	22.3333333333333	40.1082615271763
5031	kata-katta	2	6	45.3333333333333	48.2612834479942
5031	kata-katta	3	6	48.6666666666667	54.2848345010308
