ID,pair,second_dim_step,Min,Max,Crossover,Slope,PointVar,exitflag,R,LS,AR,N,status,comment
12875031,indent-intent,1,50.38095169,85.45089243,49.98472357,50.50483332,32.23791939,2100,4.19820745356635e-17,1039.283447,0.612232912,21,1,
12875031,indent-intent,2,54.8499992,86.58884547,50.04683671,50.50849972,31.24303922,2030,4.54848666065085e-17,976.1275,0.853348399,20,1,
12875031,indent-intent,3,57.85714213,87.37404783,49.99542928,50.49573289,32.25240591,2010,NaN,1040.217687,0.838152868,21,1,
12875031,indent-intent,4,19.94367016,78.18942898,3.546563249,44.89763429,12.21911798,2070,0.903100703,149.3068441,-0.077287504,20,1,
12875031,indent-intent,5,60.29999929,88.02399564,49.99784435,50.48963205,32.840676,2090,-8.65E-17,1078.51,0.807775224,20,1,
12875031,kata-katta,1,33.44449613,56.32172226,6.870315989,83.58524607,22.79631933,2070,0.291992272,519.6721751,-0.223295685,21,1,
12875031,kata-katta,2,42.0952385,83.43415858,50.00058485,50.50062942,25.884183,2090,NaN,669.9909297,-0.012927153,21,1,
12875031,kata-katta,3,46.42105333,84.47192645,49.98089435,50.49595582,24.46547684,2020,6.11424602007765e-17,598.5595568,-0.397191318,19,1,
12875031,kata-katta,4,48.14285771,84.89301109,50.0348025,50.51447707,26.87056402,2090,NaN,722.0272109,0.160890262,21,1,
12875031,kata-katta,5,40.83334156,52.7777626,4.462703498,87.66301222,25.56897534,2070,0.225236944,653.7724999,-0.294143539,21,1,
12875031,reason-risen,1,45.57142929,84.26438699,49.99328958,50.50002291,27.61568124,2030,7.35133812032622e-17,762.6258503,0.856282989,21,1,
12875031,reason-risen,2,41.90476225,83.38943307,49.99987523,50.49865187,26.9123883,2050,-1.26E-17,724.276644,0.587222005,21,1,
