sound1,sound2,syllable_label,step_number,time,f0_1,f0_2,f0_interp,method
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.067,198.6,149.8,198.6,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.077,180.9,136.8,180.9,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.087,163.6,121.9,163.6,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.097,146.8,109.7,146.8,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.107,133.9,107.5,133.9,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.117,124,90.2,124,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.127,117.3,74.4,117.3,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,1,0.137,117.7,76.1,117.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.067,198.6,149.8,185.1,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.077,180.9,136.8,168.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.087,163.6,121.9,152,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.097,146.8,109.7,136.5,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.107,133.9,107.5,126.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.117,124,90.2,114.6,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.127,117.3,74.4,104.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,2,0.137,117.7,76.1,105.5,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.067,198.6,149.8,172.5,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.077,180.9,136.8,157.3,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.087,163.6,121.9,141.2,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.097,146.8,109.7,126.9,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.107,133.9,107.5,120,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.117,124,90.2,105.8,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.127,117.3,74.4,93.4,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,3,0.137,117.7,76.1,94.6,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.067,198.6,149.8,160.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.077,180.9,136.8,146.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.087,163.6,121.9,131.2,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.097,146.8,109.7,118,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.107,133.9,107.5,113.6,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.117,124,90.2,97.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.127,117.3,74.4,83.4,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,4,0.137,117.7,76.1,84.8,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.067,198.6,149.8,149.8,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.077,180.9,136.8,136.8,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.087,163.6,121.9,121.9,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.097,146.8,109.7,109.7,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.107,133.9,107.5,107.5,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.117,124,90.2,90.2,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.127,117.3,74.4,74.4,log
kata_syllable2_buffered,katta_syllable2_buffered,syllable2,5,0.137,117.7,76.1,76.1,log
