"display","type","signal","word_pair","word_A","word_B","sound_A_male","sound_A_female","sound_B_male","sound_B_female","sound_1","sound_2","transliteration_A","transliteration_B","alt_writing_A","alt_writing_B","orthography_A","orthography_B","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","randomize_language_blocks","block_display","break_duration"
"training_trial","AA","same","oto-otto","oto","otto","M_oto.mp3","F_oto.mp3","M_otto.mp3","F_otto.mp3","","","oto","otto","おと","おっと","音（おと）","夫（おっと）","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","oto-otto","oto","otto","M_oto.mp3","F_oto.mp3","M_otto.mp3","F_otto.mp3","","","oto","otto","おと","おっと","音（おと）","夫（おっと）","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","oto-otto","oto","otto","M_oto.mp3","F_oto.mp3","M_otto.mp3","F_otto.mp3","","","oto","otto","おと","おっと","音（おと）","夫（おっと）","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","ite-itte","ite","itte","M_ite.mp3","F_ite.mp3","M_itte.mp3","F_itte.mp3","","","ite","itte","いて","いって","いて","いって","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","AA","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"training_trial","BB","same","heta-hetta","heta","hetta","M_heta.mp3","F_heta.mp3","M_hetta.mp3","F_hetta.mp3","","","heta","hetta","へた","へった","下手（へた）","減った（へった）","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","2","",""
"break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","20000"
"block_display",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Block 3 of 8",""
