ID	ax_condition	day	prepost	language	pair	second_dim_step	first_dim_step	norm_response	pred
102	lowLD	1	pre-training	Japanese	toru-tooru	3	2	1	1.47801548363778
102	lowLD	1	pre-training	Japanese	toru-tooru	3	2	0	1.47801548363778
102	lowLD	1	pre-training	Japanese	toru-tooru	3	2	1	1.47801548363778
102	lowLD	1	pre-training	Japanese	toru-tooru	3	2	1	1.47801548363778
102	lowLD	1	pre-training	Japanese	toru-tooru	3	3	1	8.8282049203588
102	lowLD	1	pre-training	Japanese	toru-tooru	3	3	1	8.8282049203588
102	lowLD	1	pre-training	Japanese	toru-tooru	3	3	1	8.8282049203588
102	lowLD	1	pre-training	Japanese	toru-tooru	3	3	0	8.8282049203588
102	lowLD	1	pre-training	Japanese	toru-tooru	3	4	99	38.4292840361364
102	lowLD	1	pre-training	Japanese	toru-tooru	3	4	2	38.4292840361364
102	lowLD	1	pre-training	Japanese	toru-tooru	3	5	100	79.9528782425129
102	lowLD	1	pre-training	Japanese	toru-tooru	3	5	100	79.9528782425129
102	lowLD	1	pre-training	Japanese	toru-tooru	3	5	0	79.9528782425129
102	lowLD	1	pre-training	Japanese	toru-tooru	3	5	98	79.9528782425129
102	lowLD	1	pre-training	Japanese	toru-tooru	3	6	99	96.0236419341397
102	lowLD	1	pre-training	Japanese	toru-tooru	3	6	100	96.0236419341397
102	lowLD	1	pre-training	Japanese	toru-tooru	3	6	100	96.0236419341397
102	lowLD	1	pre-training	Japanese	toru-tooru	3	7	99	99.1092612758439
102	lowLD	1	pre-training	Japanese	toru-tooru	3	7	99	99.1092612758439
102	lowLD	1	pre-training	Japanese	toru-tooru	3	7	100	99.1092612758439
102	lowLD	1	pre-training	Japanese	toru-tooru	3	7	99	99.1092612758439
102	lowLD	2	post-training	English	indent-intent	3	1	0	0.797987990048891
102	lowLD	2	post-training	English	indent-intent	3	1	0	0.797987990048891
102	lowLD	2	post-training	English	indent-intent	3	1	2	0.797987990048891
102	lowLD	2	post-training	English	indent-intent	3	1	1	0.797987990048891
102	lowLD	2	post-training	English	indent-intent	3	2	2	1.20151290151236
102	lowLD	2	post-training	English	indent-intent	3	2	0	1.20151290151236
102	lowLD	2	post-training	English	indent-intent	3	2	1	1.20151290151236
102	lowLD	2	post-training	English	indent-intent	3	2	2	1.20151290151236
102	lowLD	2	post-training	English	indent-intent	3	3	99	74.2520752396739
102	lowLD	2	post-training	English	indent-intent	3	3	99	74.2520752396739
102	lowLD	2	post-training	English	indent-intent	3	3	98	74.2520752396739
102	lowLD	2	post-training	English	indent-intent	3	3	1	74.2520752396739
102	lowLD	2	post-training	English	indent-intent	3	4	100	99.3390064239231
102	lowLD	2	post-training	English	indent-intent	3	4	100	99.3390064239231
102	lowLD	2	post-training	English	indent-intent	3	4	100	99.3390064239231
102	lowLD	2	post-training	English	indent-intent	3	4	99	99.3390064239231
102	lowLD	2	post-training	English	indent-intent	3	5	100	99.3864247270926
102	lowLD	2	post-training	English	indent-intent	3	5	98	99.3864247270926
102	lowLD	2	post-training	English	indent-intent	3	5	99	99.3864247270926
102	lowLD	2	post-training	English	indent-intent	3	5	99	99.3864247270926
102	lowLD	2	post-training	English	indent-intent	3	6	100	99.3864915375667
102	lowLD	2	post-training	English	indent-intent	3	6	100	99.3864915375667
102	lowLD	2	post-training	English	indent-intent	3	6	99	99.3864915375667
102	lowLD	2	post-training	English	indent-intent	3	6	99	99.3864915375667
102	lowLD	2	post-training	English	indent-intent	3	7	99	99.3864916316547
102	lowLD	2	post-training	English	indent-intent	3	7	99	99.3864916316547
102	lowLD	2	post-training	English	indent-intent	3	7	99	99.3864916316547
102	lowLD	2	post-training	English	indent-intent	3	7	100	99.3864916316547
102	lowLD	2	post-training	English	reason-risen	3	1	2	0.753547825434301
102	lowLD	2	post-training	English	reason-risen	3	1	2	0.753547825434301
102	lowLD	2	post-training	English	reason-risen	3	1	2	0.753547825434301
102	lowLD	2	post-training	English	reason-risen	3	1	3	0.753547825434301
102	lowLD	2	post-training	English	reason-risen	3	2	1	1.05571584051092
102	lowLD	2	post-training	English	reason-risen	3	2	2	1.05571584051092
102	lowLD	2	post-training	English	reason-risen	3	2	1	1.05571584051092
102	lowLD	2	post-training	English	reason-risen	3	2	0	1.05571584051092
102	lowLD	2	post-training	English	reason-risen	3	3	2	3.89930339900118
102	lowLD	2	post-training	English	reason-risen	3	3	2	3.89930339900118
102	lowLD	2	post-training	English	reason-risen	3	3	0	3.89930339900118
102	lowLD	2	post-training	English	reason-risen	3	3	3	3.89930339900118
102	lowLD	2	post-training	English	reason-risen	3	4	100	24.8806849377846
102	lowLD	2	post-training	English	reason-risen	3	4	0	24.8806849377846
102	lowLD	2	post-training	English	reason-risen	3	4	1	24.8806849377846
102	lowLD	2	post-training	English	reason-risen	3	4	3	24.8806849377846
102	lowLD	2	post-training	English	reason-risen	3	5	100	75.9375424615755
102	lowLD	2	post-training	English	reason-risen	3	5	2	75.9375424615755
102	lowLD	2	post-training	English	reason-risen	3	5	99	75.9375424615755
102	lowLD	2	post-training	English	reason-risen	3	5	98	75.9375424615755
102	lowLD	2	post-training	English	reason-risen	3	6	100	96.8361970197417
102	lowLD	2	post-training	English	reason-risen	3	6	100	96.8361970197417
102	lowLD	2	post-training	English	reason-risen	3	6	99	96.8361970197417
102	lowLD	2	post-training	English	reason-risen	3	6	99	96.8361970197417
102	lowLD	2	post-training	English	reason-risen	3	7	99	99.6648797822258
102	lowLD	2	post-training	English	reason-risen	3	7	100	99.6648797822258
102	lowLD	2	post-training	English	reason-risen	3	7	97	99.6648797822258
102	lowLD	2	post-training	English	reason-risen	3	7	98	99.6648797822258
102	lowLD	2	post-training	Japanese	kata-katta	3	1	100	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	1	50	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	1	51	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	1	50	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	2	100	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	2	0	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	2	99	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	2	49	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	3	50	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	3	50	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	3	51	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	3	50	56.3749973047804
102	lowLD	2	post-training	Japanese	kata-katta	3	4	51	56.3749973138342
102	lowLD	2	post-training	Japanese	kata-katta	3	4	50	56.3749973138342
102	lowLD	2	post-training	Japanese	kata-katta	3	4	50	56.3749973138342
102	lowLD	2	post-training	Japanese	kata-katta	3	4	51	56.3749973138342
102	lowLD	2	post-training	Japanese	kata-katta	3	5	100	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	5	100	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	5	51	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	5	50	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	6	51	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	6	51	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	6	50	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	6	50	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	7	98	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	7	50	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	7	51	62.7500018856345
102	lowLD	2	post-training	Japanese	kata-katta	3	7	51	62.7500018856345
102	lowLD	2	post-training	Japanese	toru-tooru	3	1	1	16.1453866997283
102	lowLD	2	post-training	Japanese	toru-tooru	3	1	0	16.1453866997283
