Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification,allocator-cukp,randomiser-fgpw
343,1741999296268,"15/03/2025, 00:41:36",1741984896268,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Listening,response,value,,,,Language 2 Listening,12,object-198,English,,,,,,,,,,,,,,,spreadsheet1,
344,1741999296268,"15/03/2025, 00:41:36",1741984896268,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Speaking,response,value,,,,Language 2 Speaking,13,object-199,English,,,,,,,,,,,,,,,spreadsheet1,
345,1741999296269,"15/03/2025, 00:41:36",1741984896269,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Reading,response,value,,,,Language 2 Reading,14,object-200,English,,,,,,,,,,,,,,,spreadsheet1,
346,1741999296270,"15/03/2025, 00:41:36",1741984896270,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Writing,response,value,,,,Language 2 Writing,15,object-201,English,,,,,,,,,,,,,,,spreadsheet1,
347,1741999296271,"15/03/2025, 00:41:36",1741984896271,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Years of use**,response,value,,,,Language 2 Years of use,16,object-202,English,,,,,,,,,,,,,,,spreadsheet1,
348,1741999296272,"15/03/2025, 00:41:36",1741984896272,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,,response,Language 3-value,,,,Language 3,17,object-14,English,,,,,,,,,,,,,,,spreadsheet1,
349,1741999296286,"15/03/2025, 00:41:36",1741984896286,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Listening,response,value,,,,Language 3 Listening,19,object-204,English,,,,,,,,,,,,,,,spreadsheet1,
350,1741999296287,"15/03/2025, 00:41:36",1741984896287,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Speaking,response,value,,,,Language 3 Speaking,20,object-205,English,,,,,,,,,,,,,,,spreadsheet1,
351,1741999296288,"15/03/2025, 00:41:36",1741984896288,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Reading,response,value,,,,Language 3 Reading,21,object-206,English,,,,,,,,,,,,,,,spreadsheet1,
352,1741999296288,"15/03/2025, 00:41:36",1741984896288,-4,"14/03/2025, 16:41:36",219192,2,questionnaire-9kaq,,44423499,12946054,GroupHighLD1,complete,,67d4bea78b16817ae7f648a6,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x738,,Linguistic Diversity Questionnaire (LD-Q),5,Page 3,n2j8m2,3,Writing,response,value,,,,Language 3 Writing,22,object-207,English,,,,,,,,,,,,,,,spreadsheet1,
