Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sentence,Spreadsheet: key_word,Spreadsheet: sound,Spreadsheet: correct_answer,Spreadsheet: competing_distractor,Spreadsheet: non_competing_distractor_1,Spreadsheet: non_competing_distractor_2,Spreadsheet: origin_task,Spreadsheet: length,Spreadsheet: segment_type,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity,Spreadsheet: word_position,Spreadsheet: c_label,Spreadsheet: cd_label,Spreadsheet: ncd1_label,Spreadsheet: ncd2_label,Manipulation: Spreadsheet,Store: Example
76,1745800026737,28/04/2025 00:27:06,1745782026737,-5,27/04/2025 14:27:06,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,13,trial,Screen 1,6wu76v,1,info,audio started,1015.1000000000058,1008.2000000000116,1015.1000000000058,1015.1000000000058,1008.2000000000116,1015.1000000000058,0,1015.1000000000058,0,0,,Audio Clip,Audio,3,object-78,trial,かのじょはもう___。,shiteiru_s,F_shiteiru_s.mp3,shiteiru,shitteiru,shiiteiru,jiteiru,testing,short,consonant,t,t,medial,している,しっている,しいている,じている,,correct
77,1745800028202,28/04/2025 00:27:08,1745782028202,-5,27/04/2025 14:27:08,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,13,trial,Screen 1,6wu76v,1,info,audio finished,2479.600000000006,2475.100000000006,2479.600000000006,2479.600000000006,2475.100000000006,2479.600000000006,0,2479.600000000006,0,0,,Audio Clip,Audio,3,object-78,trial,かのじょはもう___。,shiteiru_s,F_shiteiru_s.mp3,shiteiru,shitteiru,shiiteiru,jiteiru,testing,short,consonant,t,t,medial,している,しっている,しいている,じている,,correct
78,1745800030309,28/04/2025 00:27:10,1745782030309,-5,27/04/2025 14:27:10,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,13,trial,Screen 1,6wu76v,1,action,shitteiru,4586.899999952322,4583.200000000012,4586.899999952322,4586.899999952322,4583.200000000012,4586.899999952322,0,4586.899999952322,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,かのじょはもう___。,shiteiru_s,F_shiteiru_s.mp3,shiteiru,shitteiru,shiiteiru,jiteiru,testing,short,consonant,t,t,medial,している,しっている,しいている,じている,,correct
79,1745800031082,28/04/2025 00:27:11,1745782031082,-5,27/04/2025 14:27:11,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,13,trial,Screen 1,6wu76v,1,continue,,5360.199999904638,5358.200000000012,5360.199999904638,5360.199999904638,5358.200000000012,5360.199999904638,0,5360.199999904638,0,0,,Click To Continue,Continue Button,5,object-70,trial,かのじょはもう___。,shiteiru_s,F_shiteiru_s.mp3,shiteiru,shitteiru,shiiteiru,jiteiru,testing,short,consonant,t,t,medial,している,しっている,しいている,じている,,correct
80,1745800031085,28/04/2025 00:27:11,1745782031085,-5,27/04/2025 14:27:11,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,13,trial,Screen 1,6wu76v,1,response,shitteiru,5362.699999904638,5358.200000000012,5362.699999904638,5362.699999904638,5358.200000000012,5362.699999904638,0,5362.699999904638,0,0,shitteiru,CustomMultichoice,CustomMultichoice,4,object-68,trial,かのじょはもう___。,shiteiru_s,F_shiteiru_s.mp3,shiteiru,shitteiru,shiiteiru,jiteiru,testing,short,consonant,t,t,medial,している,しっている,しいている,じている,,correct
81,1745800032032,28/04/2025 00:27:12,1745782032032,-5,27/04/2025 14:27:12,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,14,trial,Screen 1,6wu76v,1,info,audio started,951.0999999284686,950.0999999999913,951.0999999284686,951.0999999284686,950.0999999999913,951.0999999284686,0,951.0999999284686,0,0,,Audio Clip,Audio,3,object-78,trial,「___」ってどういういみですか？,juyoo_s,F_juyoo_s.mp3,juyoo,juuyoo,juyo,shuyoo,testing,short,vowel,u,u,medial,じゅよう,じゅうよう,じゅよ,しゅよう,,correct
82,1745800034000,28/04/2025 00:27:14,1745782034000,-5,27/04/2025 14:27:14,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,14,trial,Screen 1,6wu76v,1,info,audio finished,2919.6999999523105,2917.7999999999884,2919.6999999523105,2919.6999999523105,2917.7999999999884,2919.6999999523105,0,2919.6999999523105,0,0,,Audio Clip,Audio,3,object-78,trial,「___」ってどういういみですか？,juyoo_s,F_juyoo_s.mp3,juyoo,juuyoo,juyo,shuyoo,testing,short,vowel,u,u,medial,じゅよう,じゅうよう,じゅよ,しゅよう,,correct
83,1745800035068,28/04/2025 00:27:15,1745782035068,-5,27/04/2025 14:27:15,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,14,trial,Screen 1,6wu76v,1,action,shuyoo,3987.1999999523105,3983.699999999997,3987.1999999523105,3987.1999999523105,3983.699999999997,3987.1999999523105,0,3987.1999999523105,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,「___」ってどういういみですか？,juyoo_s,F_juyoo_s.mp3,juyoo,juuyoo,juyo,shuyoo,testing,short,vowel,u,u,medial,じゅよう,じゅうよう,じゅよ,しゅよう,,correct
84,1745800036296,28/04/2025 00:27:16,1745782036296,-5,27/04/2025 14:27:16,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,14,trial,Screen 1,6wu76v,1,continue,,5215.599999928469,5208.899999999994,5215.599999928469,5215.599999928469,5208.899999999994,5215.599999928469,0,5215.599999928469,0,0,,Click To Continue,Continue Button,5,object-70,trial,「___」ってどういういみですか？,juyoo_s,F_juyoo_s.mp3,juyoo,juuyoo,juyo,shuyoo,testing,short,vowel,u,u,medial,じゅよう,じゅうよう,じゅよ,しゅよう,,correct
85,1745800036297,28/04/2025 00:27:16,1745782036297,-5,27/04/2025 14:27:16,220221,4,task-2lmg,,45689685,BLIND,13281215,,rejected - manual,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1512x982,1512x784,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,pre_test_assessment,pre_test_assessment,14,trial,Screen 1,6wu76v,1,response,shuyoo,5216.099999928469,5208.899999999994,5216.099999928469,5216.099999928469,5208.899999999994,5216.099999928469,0,5216.099999928469,0,0,shuyoo,CustomMultichoice,CustomMultichoice,4,object-68,trial,「___」ってどういういみですか？,juyoo_s,F_juyoo_s.mp3,juyoo,juuyoo,juyo,shuyoo,testing,short,vowel,u,u,medial,じゅよう,じゅうよう,じゅよ,しゅよう,,correct
