"ID","condition","response","reaction_time","sound","pair","language","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","first_dim_step","second_dim_step","norm_response","log_rt","median_rt","mad","upper_mad","lower_mad"
"5031","spreadsheet3",15,3068.399999999994,"D_T_VOT_1_F0_1.mp3","indent-intent","English","indent","intent","no","indent","intent",1,1,15,8.02891153208514,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",3,1346,"D_T_VOT_1_F0_1.mp3","indent-intent","English","indent","intent","no","indent","intent",1,1,3,7.204892510204673,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",7,985.1000000119092,"D_T_VOT_1_F0_1.mp3","indent-intent","English","indent","intent","no","indent","intent",1,1,7,6.8927431588737225,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",5,3704.899999999965,"D_T_VOT_1_F0_2.mp3","indent-intent","English","indent","intent","no","indent","intent",1,2,5,8.21741154681262,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",15,2827.500000011933,"D_T_VOT_1_F0_2.mp3","indent-intent","English","indent","intent","no","indent","intent",1,2,15,7.947148207994496,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",10,1609.7000000119442,"D_T_VOT_1_F0_2.mp3","indent-intent","English","indent","intent","no","indent","intent",1,2,10,7.383803105219604,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",10,5186.100000035774,"D_T_VOT_1_F0_3.mp3","indent-intent","English","indent","intent","no","indent","intent",1,3,10,8.553737248603749,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",4,1418.8000000476604,"D_T_VOT_1_F0_3.mp3","indent-intent","English","indent","intent","no","indent","intent",1,3,4,7.257566722933059,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",30,5759.299999999988,"D_T_VOT_1_F0_3.mp3","indent-intent","English","indent","intent","no","indent","intent",1,3,30,8.658571218527058,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",5,4275.799999999988,"D_T_VOT_1_F0_4.mp3","indent-intent","English","indent","intent","no","indent","intent",1,4,5,8.360726498366304,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",20,4269.000000011933,"D_T_VOT_1_F0_4.mp3","indent-intent","English","indent","intent","no","indent","intent",1,4,20,8.359134886760756,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",10,3181.900000035763,"D_T_VOT_1_F0_5.mp3","indent-intent","English","indent","intent","no","indent","intent",1,5,10,8.065233781639527,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",20,3250.7000000000116,"D_T_VOT_1_F0_5.mp3","indent-intent","English","indent","intent","no","indent","intent",1,5,20,8.086625636747236,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",16,2653.300000011921,"D_T_VOT_1_F0_5.mp3","indent-intent","English","indent","intent","no","indent","intent",1,5,16,7.883559427281829,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",25,4186.900000047695,"D_T_VOT_2_F0_1.mp3","indent-intent","English","indent","intent","no","indent","intent",2,1,25,8.33971588229655,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",25,1147.5,"D_T_VOT_2_F0_1.mp3","indent-intent","English","indent","intent","no","indent","intent",2,1,25,7.0453409419347,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",22,1907.4000000238304,"D_T_VOT_2_F0_1.mp3","indent-intent","English","indent","intent","no","indent","intent",2,1,22,7.553496337157306,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",25,2967.0000000357686,"D_T_VOT_2_F0_2.mp3","indent-intent","English","indent","intent","no","indent","intent",2,2,25,7.995306620302877,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",27,2139.800000035786,"D_T_VOT_2_F0_2.mp3","indent-intent","English","indent","intent","no","indent","intent",2,2,27,7.66846764572123,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",15,1705.9000000357628,"D_T_VOT_2_F0_2.mp3","indent-intent","English","indent","intent","no","indent","intent",2,2,15,7.441848109707438,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",13,1356.3000000238535,"D_T_VOT_2_F0_3.mp3","indent-intent","English","indent","intent","no","indent","intent",2,3,13,7.212515682986257,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",26,1302.600000047707,"D_T_VOT_2_F0_3.mp3","indent-intent","English","indent","intent","no","indent","intent",2,3,26,7.172117546148925,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",18,1153.9000000357628,"D_T_VOT_2_F0_3.mp3","indent-intent","English","indent","intent","no","indent","intent",2,3,18,7.050902788231615,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",20,2675.5999999999767,"D_T_VOT_2_F0_4.mp3","indent-intent","English","indent","intent","no","indent","intent",2,4,20,7.891928933244245,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",35,3212.7000000000116,"D_T_VOT_2_F0_4.mp3","indent-intent","English","indent","intent","no","indent","intent",2,4,35,8.074866984074943,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
"5031","spreadsheet3",23,1591.9000000000233,"D_T_VOT_2_F0_4.mp3","indent-intent","English","indent","intent","no","indent","intent",2,4,23,7.372683550361105,7.491031788406383,0.44508400640679124,8.826283807626757,6.15577976918601
