"ID","age","gender","context_hours_watching","passive_watching_lang1","passive_watching_lang1_hours","passive_watching_lang2","passive_watching_lang2_hours","passive_watching_lang3","passive_watching_lang3_hours","passive_watching_lang4","passive_watching_lang4_hours","context_hours_listening","passive_listening_lang1","passive_listening_lang1_hours","passive_listening_lang2","passive_listening_lang2_hours","passive_listening_lang3","passive_listening_lang3_hours","passive_listening_lang4","passive_listening_lang4_hours","context_hours_games","passive_games_lang1","passive_games_lang1_hours","passive_games_lang2","passive_games_lang2_hours","passive_games_lang3","passive_games_lang3_hours","passive_games_lang4","passive_games_lang4_hours","context_hours_internet","passive_internet_lang1","passive_internet_lang1_hours","passive_internet_lang2","passive_internet_lang2_hours","passive_internet_lang3","passive_internet_lang3_hours","passive_internet_lang4","passive_internet_lang4_hours","context_hours_home","passive_home_lang1","passive_home_lang1_hours","passive_home_lang2","passive_home_lang2_hours","passive_home_lang3","passive_home_lang3_hours","passive_home_lang4","passive_home_lang4_hours","context_hours_family","passive_family_lang1","passive_family_lang1_hours","passive_family_lang2","passive_family_lang2_hours","passive_family_lang3","passive_family_lang3_hours","passive_family_lang4","passive_family_lang4_hours","context_hours_social","passive_social_lang1","passive_social_lang1_hours","passive_social_lang2","passive_social_lang2_hours","passive_social_lang3","passive_social_lang3_hours","passive_social_lang4","passive_social_lang4_hours","context_hours_work_school","passive_work_school_lang1","passive_work_school_lang1_hours","passive_work_school_lang2","passive_work_school_lang2_hours","passive_work_school_lang3","passive_work_school_lang3_hours","passive_work_school_lang4","passive_work_school_lang4_hours","context_hours_out_of_home","passive_out_of_home_lang1","passive_out_of_home_lang1_hours","passive_out_of_home_lang2","passive_out_of_home_lang2_hours","passive_out_of_home_lang3","passive_out_of_home_lang3_hours","passive_out_of_home_lang4","passive_out_of_home_lang4_hours","context_hours_other","context_hours_other_please_specify","passive_other_lang1","passive_other_lang1_hours","passive_other_lang2","passive_other_lang2_hours","passive_other_lang3","passive_other_lang3_hours","passive_other_lang4","passive_other_lang4_hours","hours_awake_question_15","other_info_part_2_question_16"
"5363","26","Female","3","English","3",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"0","English","0",NA,NA,NA,NA,NA,NA,"7","English","7",NA,NA,NA,NA,NA,NA,"16","English","16",NA,NA,NA,NA,NA,NA,"0","English","0",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"8","English","8",NA,NA,NA,NA,NA,NA,"3","English 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA
"5138","26","Male","2.5","English",NA,NA,NA,NA,NA,NA,NA,"2","English","2",NA,NA,NA,NA,NA,NA,"1.5","English",NA,"Japanese",NA,NA,NA,NA,NA,"0","Chinese",NA,"Japanese",NA,NA,NA,NA,NA,"24","English",NA,NA,NA,NA,NA,NA,NA,"24","English",NA,NA,NA,NA,NA,NA,NA,"0","English",NA,NA,NA,NA,NA,NA,NA,"0","English",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2.5","Workouts","n/a (Shutin)",NA,NA,NA,NA,NA,NA,NA,"14","I'm studying a.i related machine translation for chinese stuff just becasue. I have a crappy pc, so I'm looking into plugging llm's into a colab notebook."
"5341","25","Female","10","English","7","Japanese","1","French","1","Spanish","1","0","English","5",NA,"0",NA,"0",NA,"0","7","English","7","Japanese","0","French","0","Spanish","0","8","English","6","Japanese","1","French","1","Spanish","0","13","English","13","Japanese","0","Spanish","0","French","0","13","English","13","Japanese","0","Spanish","0French","0",NA,"6","English","4","Japanese","1","French","1","Spanish","0","10","English","10","Japanese","0","French","0","Spanish","0","3","English","3","Japanese","0","French","0","Spanish","0","0","0","English","0","Japanese","0","French","0","Spanish","0","14",NA
"5440","39","Female","5","English","5","Japanese",".5",NA,NA,NA,NA,"1","English","1","Japanese",".1",NA,NA,NA,NA,"5","English","5",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"22","English","22",NA,NA,NA,NA,NA,NA,"15","English","15",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA
"5456","23","Female","1","English","1",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"16","English","16",NA,NA,NA,NA,NA,NA,"4","English","2","Spanish","2",NA,NA,NA,NA,"2","English","2",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA
"5448","27","Female","2","english","2",NA,NA,NA,NA,NA,NA,"1","english","1",NA,NA,NA,NA,NA,NA,"0","english","0",NA,NA,NA,NA,NA,NA,"1","english","1",NA,NA,NA,NA,NA,NA,"12","english","12",NA,NA,NA,NA,NA,NA,"12","english","12",NA,NA,NA,NA,NA,NA,"2","englsih","2",NA,NA,NA,NA,NA,NA,"4","english","4",NA,NA,NA,NA,NA,NA,"1","english","1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA
"5585","29","Male","2","English","2","Spanish","0",NA,NA,NA,NA,"2","English","2","Spanish","0",NA,NA,NA,NA,"0.5","English","1","Spanish","0",NA,NA,NA,NA,"2","English","2","Spanish","0",NA,NA,NA,NA,"16","English","16","Spanish","0",NA,NA,NA,NA,"0","English","0","Spanish","0",NA,NA,NA,NA,"8","English","8","Spanish","0",NA,NA,NA,NA,"8","English","8","Spanish","0",NA,NA,NA,NA,"0.5","English",".5","Spanish","0",NA,NA,NA,NA,"0","0","English","0","Spanish","0",NA,NA,NA,NA,"16","I live in a town with majority english speakers and really don't ever hear other languages than english."
"5231","27","Male","6","English","6","Japanese","2",NA,NA,NA,NA,"3","English","2","Korean","1",NA,NA,NA,NA,"4","English","1",NA,NA,NA,NA,NA,NA,"2","English","2",NA,NA,NA,NA,NA,NA,"14","English","14",NA,NA,NA,NA,NA,NA,"6","English","6",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA
"5552","32","Female","3","English","2","German",".5",NA,NA,NA,NA,"4","English","4",NA,NA,NA,NA,NA,NA,"3","English","3",NA,NA,NA,NA,NA,NA,"2","English","1","German",".5",NA,NA,NA,NA,"8","English","8",NA,NA,NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"3","English","2","Spanish","1","German","1",NA,NA,"8","English","8",NA,NA,NA,NA,NA,NA,"4","English","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA
"5569","32","Male","7","English","5","Japanese","1","Spanish","1",NA,NA,"1","English","0.8","Spanish","0.2",NA,NA,NA,NA,"1","English","1",NA,NA,NA,NA,NA,NA,"6","English","3","Spanish","2","Japanese","1",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0.2","English","0.2",NA,NA,NA,NA,NA,NA,"0.3","English","0.2","Spanish","0.1",NA,NA,NA,NA,"0.2","Spanish","0.2",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
