Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress,allocator-cukp,randomiser-fgpw
﻿1,1742000330141,"15/03/2025, 00:58:50",1741982330141,-5,"14/03/2025, 14:58:50",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spreadsheet4,
2,1742000333887,"15/03/2025, 00:58:53",1741982333887,-5,"14/03/2025, 14:58:53",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,welcome and task description,dabwcr,1,continue,,3594.99999999553,3583.5,3594.99999999553,3594.99999999553,3583.5,3594.99999999553,1,0,0,,Click To Continue,Continue Button,3,object-283,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
3,1742000335190,"15/03/2025, 00:58:55",1741982335190,-5,"14/03/2025, 14:58:55",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,fixation,71ygsn,2,continue,,1314.69999999851,1300.1999999999998,1314.69999999851,1314.69999999851,1300.1999999999998,1314.69999999851,1,0,0,,Click To Continue,Continue Button,2,object-287,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
4,1742000335204,"15/03/2025, 00:58:55",1741982335204,-5,"14/03/2025, 14:58:55",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,trial,y8sx24,3,info,,17,0,17,17,0,17,1,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
5,1742000337286,"15/03/2025, 00:58:57",1741982337286,-5,"14/03/2025, 14:58:57",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,trial,y8sx24,3,continue,,2110.9999999985102,2099.800000000001,2110.9999999985102,2110.9999999985102,2099.800000000001,2110.9999999985102,1,0,0,,Click To Continue,Continue Button,3,object-293,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
6,1742000337287,"15/03/2025, 00:58:57",1741982337287,-5,"14/03/2025, 14:58:57",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,trial,y8sx24,3,response,,2112.1000000000004,2099.800000000001,2112.1000000000004,2112.1000000000004,2099.800000000001,2112.1000000000004,1,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
7,1742000338348,"15/03/2025, 00:58:58",1741982338348,-5,"14/03/2025, 14:58:58",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,no feedback,ebnzxp,4,continue,,1072.8999999940388,1066.5,1072.8999999940388,1072.8999999940388,1066.5,1072.8999999940388,1,0,0,,Click To Continue,Continue Button,2,object-297,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
8,1742000339205,"15/03/2025, 00:58:59",1741982339205,-5,"14/03/2025, 14:58:59",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,adjust,vl7wbf,5,continue,,863.7999999999993,850.0999999999985,863.7999999999993,863.7999999999993,850.0999999999985,863.7999999999993,1,0,0,,Click To Continue,Continue Button,2,object-343,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
9,1742000342230,"15/03/2025, 00:59:02",1741982342230,-5,"14/03/2025, 14:59:02",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,3037.9999999970205,3033.4000000000015,3037.9999999970205,3037.9999999970205,3033.4000000000015,3037.9999999970205,1,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
10,1742000342988,"15/03/2025, 00:59:02",1741982342988,-5,"14/03/2025, 14:59:02",219192,2,task-dvtf,,44423806,12946138,GroupLowLD1,complete,,67d4cea6ea359e26853174a2,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x645,,VAS Task,5,spreadsheet4_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,3796.3999999955304,3783.6000000000004,3796.3999999955304,3796.3999999955304,3783.6000000000004,3796.3999999955304,1,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,,spreadsheet4,
