Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,TrialsPerBlock,stimuli_type,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress
161,1746501838786,06/05/2025 03:23:58,1746476638786,-7,05/05/2025 13:23:58,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,17,trial,fixation and stimuli,qfds9m,2,info,audio finished,715.000000000553,699.8999999999942,715.000000000553,715.000000000553,699.8999999999942,715.000000000553,1,715.000000000553,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,17
162,1746501838787,06/05/2025 03:23:58,1746476638787,-7,05/05/2025 13:23:58,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,17,trial,fixation and stimuli,qfds9m,2,continue,,716.000000000553,699.8999999999942,716.000000000553,716.000000000553,699.8999999999942,716.000000000553,1,716.000000000553,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,17
163,1746501838922,06/05/2025 03:23:58,1746476638922,-7,05/05/2025 13:23:58,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,17,trial,150ms pause,ceke9i,3,timedOut,,151.70000000018626,149.6999999999971,151.70000000018626,151.70000000018626,149.6999999999971,151.70000000018626,1,151.70000000018626,0,0,,Time Limit,screen,0,screen,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,17
164,1746501838934,06/05/2025 03:23:58,1746476638934,-7,05/05/2025 13:23:58,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,17,trial,response,b4qig6,4,info,,13.30000000000291,0,13.30000000000291,13.30000000000291,0,13.30000000000291,1,13.30000000000291,0,0,response_slider,Slider,Slider,2,object-45,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,17
165,1746501840090,06/05/2025 03:24:00,1746476640090,-7,05/05/2025 13:24:00,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,17,trial,response,b4qig6,4,continue,,1169.7000000003754,1166.699999999997,1169.7000000003754,1169.7000000003754,1166.699999999997,1169.7000000003754,1,1169.7000000003754,0,0,,Click To Continue,Continue Button,6,object-328,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,17
166,1746501840091,06/05/2025 03:24:00,1746476640091,-7,05/05/2025 13:24:00,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,17,trial,response,b4qig6,4,response,50,533.3000000000029,1166.699999999997,1170.4000000005617,533.3000000000029,1166.699999999997,1170.4000000005617,1,533.3000000000029,637.1000000005588,0,response_slider,Slider,Slider,2,object-45,trial,I_IH_spec_4_dur_3.mp3,reason-risen,English,2,,,4,3,left_word,right_word,,,,28,,risen.png,reason.png,,18
167,1746501840238,06/05/2025 03:24:00,1746476640238,-7,05/05/2025 13:24:00,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,18,trial,150 ms pause,rz316y,1,timedOut,,151.30000000019209,150.10000000000582,151.30000000019209,151.30000000019209,150.10000000000582,151.30000000019209,1,151.30000000019209,0,0,,Time Limit,screen,0,screen,trial,I_IH_spec_7_dur_3.mp3,reason-risen,English,2,,,7,3,left_word,right_word,,,,28,,risen.png,reason.png,,18
168,1746501840244,06/05/2025 03:24:00,1746476640244,-7,05/05/2025 13:24:00,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,18,trial,fixation and stimuli,qfds9m,2,info,audio started,7,0,7,7,0,7,1,7,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_7_dur_3.mp3,reason-risen,English,2,,,7,3,left_word,right_word,,,,28,,risen.png,reason.png,,18
169,1746501840950,06/05/2025 03:24:00,1746476640950,-7,05/05/2025 13:24:00,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,18,trial,fixation and stimuli,qfds9m,2,info,audio finished,712.9000000003725,700,712.9000000003725,712.9000000003725,700,712.9000000003725,1,712.9000000003725,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_7_dur_3.mp3,reason-risen,English,2,,,7,3,left_word,right_word,,,,28,,risen.png,reason.png,,18
170,1746501840952,06/05/2025 03:24:00,1746476640952,-7,05/05/2025 13:24:00,220221,4,task-nu4t,,45884755,BLIND,13350716,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x729,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet2,,spreadsheet3,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet2_1D,28,,spreadsheet2_1D,18,trial,fixation and stimuli,qfds9m,2,continue,,714.6000000005588,700,714.6000000005588,714.6000000005588,700,714.6000000005588,1,714.6000000005588,0,0,,Audio Clip,Audio stim,2,object-177,trial,I_IH_spec_7_dur_3.mp3,reason-risen,English,2,,,7,3,left_word,right_word,,,,28,,risen.png,reason.png,,18
