ID	prepost	pair	first_dim_step	norm_response
2	Post	toru-tooru	3	0
2	Post	toru-tooru	3	99
2	Post	toru-tooru	3	0
2	Post	toru-tooru	4	100
2	Post	toru-tooru	4	100
2	Post	toru-tooru	4	100
2	Post	toru-tooru	4	100
2	Post	toru-tooru	5	100
2	Post	toru-tooru	5	100
2	Post	toru-tooru	5	100
2	Post	toru-tooru	5	100
2	Post	toru-tooru	6	100
2	Post	toru-tooru	6	99
2	Post	toru-tooru	6	100
2	Post	toru-tooru	6	100
2	Post	toru-tooru	7	100
2	Post	toru-tooru	7	100
2	Post	toru-tooru	7	100
2	Post	toru-tooru	7	100
3	Pre	indent-intent	1	0
3	Pre	indent-intent	1	3
3	Pre	indent-intent	1	4
3	Pre	indent-intent	1	0
3	Pre	indent-intent	2	14
3	Pre	indent-intent	2	1
3	Pre	indent-intent	3	96
3	Pre	indent-intent	3	97
3	Pre	indent-intent	3	90
3	Pre	indent-intent	3	99
3	Pre	indent-intent	4	93
3	Pre	indent-intent	4	85
3	Pre	indent-intent	4	92
3	Pre	indent-intent	4	100
3	Pre	indent-intent	5	99
3	Pre	indent-intent	5	100
3	Pre	indent-intent	5	100
3	Pre	indent-intent	5	100
3	Pre	indent-intent	6	100
3	Pre	indent-intent	6	74
3	Pre	indent-intent	6	89
3	Pre	indent-intent	6	100
3	Pre	indent-intent	7	90
3	Pre	indent-intent	7	75
3	Pre	indent-intent	7	97
3	Pre	indent-intent	7	97
3	Pre	reason-risen	1	0
3	Pre	reason-risen	1	9
3	Pre	reason-risen	1	0
3	Pre	reason-risen	1	6
3	Pre	reason-risen	2	0
3	Pre	reason-risen	2	26
3	Pre	reason-risen	2	4
3	Pre	reason-risen	3	38
3	Pre	reason-risen	3	2
3	Pre	reason-risen	3	0
3	Pre	reason-risen	3	77
3	Pre	reason-risen	4	53
3	Pre	reason-risen	4	31
3	Pre	reason-risen	4	4
3	Pre	reason-risen	4	0
3	Pre	reason-risen	5	75
3	Pre	reason-risen	5	99
3	Pre	reason-risen	5	70
3	Pre	reason-risen	5	74
3	Pre	reason-risen	6	99
3	Pre	reason-risen	6	73
3	Pre	reason-risen	6	100
3	Pre	reason-risen	6	46
3	Pre	reason-risen	7	85
3	Pre	reason-risen	7	84
3	Pre	reason-risen	7	47
3	Pre	reason-risen	7	96
3	Pre	kata-katta	1	0
3	Pre	kata-katta	1	0
3	Pre	kata-katta	1	0
3	Pre	kata-katta	1	99
3	Pre	kata-katta	2	1
3	Pre	kata-katta	2	1
3	Pre	kata-katta	2	0
3	Pre	kata-katta	2	1
3	Pre	kata-katta	3	0
3	Pre	kata-katta	3	0
3	Pre	kata-katta	3	0
3	Pre	kata-katta	3	0
3	Pre	kata-katta	4	0
3	Pre	kata-katta	4	1
3	Pre	kata-katta	4	0
3	Pre	kata-katta	4	1
3	Pre	kata-katta	5	99
3	Pre	kata-katta	5	99
3	Pre	kata-katta	5	1
3	Pre	kata-katta	5	99
3	Pre	kata-katta	6	99
3	Pre	kata-katta	6	100
3	Pre	kata-katta	6	99
3	Pre	kata-katta	6	1
3	Pre	kata-katta	7	99
3	Pre	kata-katta	7	99
3	Pre	kata-katta	7	99
3	Pre	toru-tooru	1	1
3	Pre	toru-tooru	1	0
3	Pre	toru-tooru	1	0
3	Pre	toru-tooru	1	0
3	Pre	toru-tooru	2	0
3	Pre	toru-tooru	2	0
3	Pre	toru-tooru	2	1
3	Pre	toru-tooru	2	0
3	Pre	toru-tooru	3	0
3	Pre	toru-tooru	3	1
3	Pre	toru-tooru	3	1
3	Pre	toru-tooru	3	0
3	Pre	toru-tooru	4	99
3	Pre	toru-tooru	4	99
3	Pre	toru-tooru	4	100
3	Pre	toru-tooru	5	99
3	Pre	toru-tooru	5	99
3	Pre	toru-tooru	5	99
3	Pre	toru-tooru	5	100
3	Pre	toru-tooru	6	98
3	Pre	toru-tooru	6	99
3	Pre	toru-tooru	6	99
3	Pre	toru-tooru	6	99
3	Pre	toru-tooru	7	99
3	Pre	toru-tooru	7	100
3	Pre	toru-tooru	7	99
3	Post	indent-intent	1	1
3	Post	indent-intent	1	0
3	Post	indent-intent	1	0
3	Post	indent-intent	1	0
3	Post	indent-intent	2	0
3	Post	indent-intent	2	0
3	Post	indent-intent	2	0
3	Post	indent-intent	2	0
3	Post	indent-intent	3	1
3	Post	indent-intent	3	0
3	Post	indent-intent	3	1
3	Post	indent-intent	3	1
3	Post	indent-intent	4	100
3	Post	indent-intent	4	100
3	Post	indent-intent	4	100
3	Post	indent-intent	4	100
3	Post	indent-intent	5	99
3	Post	indent-intent	5	99
3	Post	indent-intent	5	100
3	Post	indent-intent	5	99
3	Post	indent-intent	6	100
3	Post	indent-intent	6	100
3	Post	indent-intent	6	100
3	Post	indent-intent	6	100
3	Post	indent-intent	7	100
3	Post	indent-intent	7	100
3	Post	indent-intent	7	100
3	Post	indent-intent	7	100
3	Post	reason-risen	1	0
3	Post	reason-risen	1	0
3	Post	reason-risen	1	0
3	Post	reason-risen	1	0
3	Post	reason-risen	2	1
3	Post	reason-risen	2	0
3	Post	reason-risen	2	0
3	Post	reason-risen	2	41
3	Post	reason-risen	3	0
3	Post	reason-risen	3	0
3	Post	reason-risen	3	0
3	Post	reason-risen	3	94
3	Post	reason-risen	4	76
3	Post	reason-risen	4	14
3	Post	reason-risen	4	99
3	Post	reason-risen	5	100
3	Post	reason-risen	5	99
3	Post	reason-risen	5	100
