"local_date","ID","exp_group","prepost","pretraining_condition","posttraining_condition","response","reaction_time","sound","pair","language","first_dim_step","second_dim_step","left_word","right_word","reverse_scale","norm_left_word","norm_right_word","norm_response","days_between"
"2025-04-02","1","Low LD","Pre","spreadsheet3","",80,3483,"I_IH_spec_6_dur_3.mp3","reason-risen","English",6,3,"risen","reason","yes","reason","risen",20,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2116.500000047672,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"risen","reason","yes","reason","risen",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",50,8766.600000000006,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"risen","reason","yes","reason","risen",50,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",95,2599.9000000000233,"I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"risen","reason","yes","reason","risen",5,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,3060.7000000000116,"I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"risen","reason","yes","reason","risen",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",71,3427.7999999999884,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"risen","reason","yes","reason","risen",29,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",99,3916.000000071537,"I_IH_spec_4_dur_3.mp3","reason-risen","English",4,3,"risen","reason","yes","reason","risen",1,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,4680.90000002383,"I_IH_spec_3_dur_3.mp3","reason-risen","English",3,3,"risen","reason","yes","reason","risen",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2574.100000047707,"I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"risen","reason","yes","reason","risen",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,1797.8000000238535,"I_IH_spec_2_dur_3.mp3","reason-risen","English",2,3,"risen","reason","yes","reason","risen",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",32,7633.100000047707,"I_IH_spec_5_dur_3.mp3","reason-risen","English",5,3,"risen","reason","yes","reason","risen",68,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",100,2416.5999999999185,"I_IH_spec_1_dur_3.mp3","reason-risen","English",1,3,"risen","reason","yes","reason","risen",0,0
"2025-04-02","1","Low LD","Pre","spreadsheet3","",7,4683.300000000047,"I_IH_spec_7_dur_3.mp3","reason-risen","English",7,3,"risen","reason","yes","reason","risen",93,0
