"local_date","ID","exp_group","prepost","response","reaction_time","correct","sentence","key_word","sound","correct_answer","competing_distractor","non_competing_distractor_1","non_competing_distractor_2","origin_task","length","segment_type","phoneme_quality","phoneme_identity","word_position","c_label","cd_label","ncd1_label","ncd2_label","example","days_between"
"2025-03-25","2","Control","Pre","shushin",24153.90000001788,1,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing","short","consonant","sh","sh","medial","しゅしん","しゅっしん","しゅうしん","しゅじん","correct",39
"2025-03-25","2","Control","Pre","yusoo",22174.900000011927,1,"あれはきっと___できないよ。","yusoo_s","F_yusoo_s.mp3","yusoo","yuusoo","yussoo","usoo","training","short","vowel","u","u","medial","ゆそう","ゆうそう","ゆっそう","うそう","correct",39
"2025-03-25","2","Control","Pre","ishoku",15476.000000023836,0,"___にきめました。","isshoku_s","F_isshoku_s.mp3","isshoku","ishoku","iishoku","issoku","training","long","consonant","sh","ssh","medial","いっしょく","いしょく","いいしょく","いっそく","correct",39
"2025-03-25","2","Control","Pre","kase",18186.400000017893,0,"___についてもっとしりたいです。","kasee_s","F_kasee_s.mp3","kasee","kassee","kase","kosee","training","short","consonant","s","s","medial","かせい","かっせい","かせ","こせい","correct",39
"2025-03-25","2","Control","Pre","hosoku",15618.300000023852,0,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing","long","consonant","s","ss","medial","ほっそく","ほそく","ほうそく","はっそく","correct",39
"2025-03-25","2","Control","Pre","jutaku",41493.70000001788,0,"___のことをかんがえましょう。","juutaku_s","F_juutaku_s.mp3","juutaku","jutaku","juttaku","shuutaku","training","long","vowel","u","uu","medial","じゅうたく","じゅたく","じゅったく","しゅうたく","correct",39
"2025-03-25","2","Control","Pre","ojiisan",15959.700000011915,1,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training","long","vowel","i","ii","medial","おじいさん","おじさん","おおじさん","おちさん","correct",39
"2025-03-25","2","Control","Pre","hosoo",38833.30000000005,0,"このじょうきょうに___がいるとおもう。","hoosoo_s","F_hoosoo_s.mp3","hoosoo","hosoo","hossoo","hooso","testing","long","vowel","o","oo","medial","ほうそう","ほそう","ほっそう","ほうそ","correct",39
"2025-03-25","2","Control","Pre","mashi",12482.799999999988,0,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing","short","vowel","e","e","medial","めし","めいし","めっし","まし","correct",39
"2025-03-25","2","Control","Pre","shiteiru",12406.099999999977,1,"かのじょはもう___。","shiteiru_s","F_shiteiru_s.mp3","shiteiru","shitteiru","shiiteiru","jiteiru","testing","short","consonant","t","t","medial","している","しっている","しいている","じている","correct",39
"2025-03-25","2","Control","Pre","tannin",17206.20000001788,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing","long","consonant","n","nn","medial","たんにん","たにん","たいいん","たいにん","correct",39
"2025-03-25","2","Control","Pre","oto",33384.20000000007,1,"そのことばは「___」とよみます。","oto_s","F_oto_s.mp3","oto","otto","ooto","otoo","training","short","consonant","t","t","medial","おと","おっと","おうと","おとう","correct",39
"2025-03-25","2","Control","Pre","ikko",24966.699999999953,0,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing","long","consonant","k","kk","medial","いっこう","いこう","いっこ","いいこう","correct",39
