Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sentence,Spreadsheet: key_word,Spreadsheet: sound,Spreadsheet: correct_answer,Spreadsheet: competing_distractor,Spreadsheet: non_competing_distractor_1,Spreadsheet: non_competing_distractor_2,Spreadsheet: origin_task,Spreadsheet: length,Spreadsheet: segment_type,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity,Spreadsheet: word_position,Spreadsheet: c_label,Spreadsheet: cd_label,Spreadsheet: ncd1_label,Spreadsheet: ncd2_label,Manipulation: Spreadsheet,Store: Example
56,1745791979450,27/04/2025 22:12:59,1745777579450,-4,27/04/2025 14:12:59,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,continue,,11410.999999928477,11407,11410.999999928477,11410.999999928477,11407,11410.999999928477,0,11410.999999928477,0,0,,Click To Continue,Continue Button,5,object-70,trial,___のことをかんがえましょう。,juutaku_s,F_juutaku_s.mp3,juutaku,jutaku,juttaku,shuutaku,training,long,vowel,u,uu,medial,じゅうたく,じゅたく,じゅったく,しゅうたく,,correct
57,1745791979450,27/04/2025 22:12:59,1745777579450,-4,27/04/2025 14:12:59,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,8,trial,Screen 1,6wu76v,1,response,juutaku,11411.099999999991,11407,11411.099999999991,11411.099999999991,11407,11411.099999999991,1,11411.099999999991,0,0,juutaku,CustomMultichoice,CustomMultichoice,4,object-68,trial,___のことをかんがえましょう。,juutaku_s,F_juutaku_s.mp3,juutaku,jutaku,juttaku,shuutaku,training,long,vowel,u,uu,medial,じゅうたく,じゅたく,じゅったく,しゅうたく,,correct
58,1745791981979,27/04/2025 22:13:01,1745777581979,-4,27/04/2025 14:13:01,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,9,trial,Screen 1,6wu76v,1,info,audio started,2532.5,2528.300000000003,2532.5,2532.5,2528.300000000003,2532.5,0,2532.5,0,0,,Audio Clip,Audio,3,object-78,trial,あの___はまだですね。,ikkoo_s,F_ikkoo_s.mp3,ikkoo,ikoo,ikko,iikoo,testing,long,consonant,k,kk,medial,いっこう,いこう,いっこ,いいこう,,correct
59,1745791983756,27/04/2025 22:13:03,1745777583756,-4,27/04/2025 14:13:03,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,9,trial,Screen 1,6wu76v,1,info,audio finished,4309.300000000003,4305.100000000006,4309.300000000003,4309.300000000003,4305.100000000006,4309.300000000003,0,4309.300000000003,0,0,,Audio Clip,Audio,3,object-78,trial,あの___はまだですね。,ikkoo_s,F_ikkoo_s.mp3,ikkoo,ikoo,ikko,iikoo,testing,long,consonant,k,kk,medial,いっこう,いこう,いっこ,いいこう,,correct
60,1745791990937,27/04/2025 22:13:10,1745777590937,-4,27/04/2025 14:13:10,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,9,trial,Screen 1,6wu76v,1,info,audio started,11491.199999999997,11487,11491.199999999997,11491.199999999997,11487,11491.199999999997,0,11491.199999999997,0,0,,Audio Clip,Audio,3,object-78,trial,あの___はまだですね。,ikkoo_s,F_ikkoo_s.mp3,ikkoo,ikoo,ikko,iikoo,testing,long,consonant,k,kk,medial,いっこう,いこう,いっこ,いいこう,,correct
61,1745791992714,27/04/2025 22:13:12,1745777592714,-4,27/04/2025 14:13:12,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,9,trial,Screen 1,6wu76v,1,info,audio finished,13268.499999928477,13268.100000000006,13268.499999928477,13268.499999928477,13268.100000000006,13268.499999928477,0,13268.499999928477,0,0,,Audio Clip,Audio,3,object-78,trial,あの___はまだですね。,ikkoo_s,F_ikkoo_s.mp3,ikkoo,ikoo,ikko,iikoo,testing,long,consonant,k,kk,medial,いっこう,いこう,いっこ,いいこう,,correct
62,1745791994519,27/04/2025 22:13:14,1745777594519,-4,27/04/2025 14:13:14,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,9,trial,Screen 1,6wu76v,1,action,ikkoo,15073.300000000003,15069.599999999991,15073.300000000003,15073.300000000003,15069.599999999991,15073.300000000003,1,15073.300000000003,0,0,,CustomMultichoice,CustomMultichoice,4,object-68,trial,あの___はまだですね。,ikkoo_s,F_ikkoo_s.mp3,ikkoo,ikoo,ikko,iikoo,testing,long,consonant,k,kk,medial,いっこう,いこう,いっこ,いいこう,,correct
63,1745791995185,27/04/2025 22:13:15,1745777595185,-4,27/04/2025 14:13:15,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,9,trial,Screen 1,6wu76v,1,continue,,15739.09999995232,15737.199999999997,15739.09999995232,15739.09999995232,15737.199999999997,15739.09999995232,0,15739.09999995232,0,0,,Click To Continue,Continue Button,5,object-70,trial,あの___はまだですね。,ikkoo_s,F_ikkoo_s.mp3,ikkoo,ikoo,ikko,iikoo,testing,long,consonant,k,kk,medial,いっこう,いこう,いっこ,いいこう,,correct
64,1745791995185,27/04/2025 22:13:15,1745777595185,-4,27/04/2025 14:13:15,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,9,trial,Screen 1,6wu76v,1,response,ikkoo,15739.300000000003,15737.199999999997,15739.300000000003,15739.300000000003,15737.199999999997,15739.300000000003,1,15739.300000000003,0,0,ikkoo,CustomMultichoice,CustomMultichoice,4,object-68,trial,あの___はまだですね。,ikkoo_s,F_ikkoo_s.mp3,ikkoo,ikoo,ikko,iikoo,testing,long,consonant,k,kk,medial,いっこう,いこう,いっこ,いいこう,,correct
65,1745791996881,27/04/2025 22:13:16,1745777596881,-4,27/04/2025 14:13:16,220221,4,task-6f19,repeat-m9cn#4,45688814,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,Multiple-Choice Partial Dictation (MCPD) Listening Assessment,3,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,post_test_assessment,post_test_assessment,10,trial,Screen 1,6wu76v,1,info,audio started,1697.4000000000233,1693.3000000000175,1697.4000000000233,1697.4000000000233,1693.3000000000175,1697.4000000000233,0,1697.4000000000233,0,0,,Audio Clip,Audio,3,object-78,trial,___にきめました。,isshoku_s,F_isshoku_s.mp3,isshoku,ishoku,iishoku,issoku,training,long,consonant,sh,ssh,medial,いっしょく,いしょく,いいしょく,いっそく,,correct
