Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,TrialsPerBlock,stimuli_type,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress
1,1745427064432,23/04/2025 16:51:04,1745412664432,-4,23/04/2025 08:51:04,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1745427070373,23/04/2025 16:51:10,1745412670373,-4,23/04/2025 08:51:10,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,welcome and task description,dabwcr,1,continue,,5333.499999999998,5316.799999999999,5333.499999999998,5333.499999999998,5316.799999999999,5333.499999999998,1,5333.499999999998,0,0,,Click To Continue,Continue Button,3,object-283,instructions_1D,,,,,,,,,,,,,,28,,,,,
3,1745427075562,23/04/2025 16:51:15,1745412675562,-4,23/04/2025 08:51:15,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,fixation,71ygsn,2,continue,,5206.600000095368,5199.9000000000015,5206.600000095368,5206.600000095368,5199.9000000000015,5206.600000095368,1,5206.600000095368,0,0,,Click To Continue,Continue Button,2,object-287,instructions_1D,,,,,,,,,,,,,,28,,,,,
4,1745427075574,23/04/2025 16:51:15,1745412675574,-4,23/04/2025 08:51:15,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,trial,y8sx24,3,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,
5,1745427086493,23/04/2025 16:51:26,1745412686493,-4,23/04/2025 08:51:26,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,trial,y8sx24,3,continue,,10937.3,10933.2,10937.3,10937.3,10933.2,10937.3,1,10937.3,0,0,,Click To Continue,Continue Button,3,object-293,instructions_1D,,,,,,,,,,,,,,28,,,,,
6,1745427086496,23/04/2025 16:51:26,1745412686496,-4,23/04/2025 08:51:26,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,trial,y8sx24,3,response,61,6516.700000000001,10933.2,10940.599999713897,6516.700000000001,10933.2,10940.599999713897,1,6516.700000000001,4423.899999713896,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,
7,1745427090684,23/04/2025 16:51:30,1745412690684,-4,23/04/2025 08:51:30,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,no feedback,ebnzxp,4,continue,,4195.899999713896,4183.5999999999985,4195.899999713896,4195.899999713896,4183.5999999999985,4195.899999713896,1,4195.899999713896,0,0,,Click To Continue,Continue Button,2,object-297,instructions_1D,,,,,,,,,,,,,,28,,,,,
8,1745427092696,23/04/2025 16:51:32,1745412692696,-4,23/04/2025 08:51:32,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,adjust,vl7wbf,5,continue,,2024.5999999046326,2015.7999999999993,2024.5999999046326,2024.5999999046326,2015.7999999999993,2024.5999999046326,1,2024.5999999046326,0,0,,Click To Continue,Continue Button,2,object-343,instructions_1D,,,,,,,,,,,,,,28,,,,,
9,1745427102994,23/04/2025 16:51:42,1745412702994,-4,23/04/2025 08:51:42,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,10305.799999904633,10300.899999999998,10305.799999904633,10305.799999904633,10300.899999999998,10305.799999904633,1,10305.799999904633,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
10,1745427103753,23/04/2025 16:51:43,1745412703753,-4,23/04/2025 08:51:43,220221,4,task-uhhx,repeat-7t26#4,45595040,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,VAS Task,5,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,11064.799999904633,11050.8,11064.799999904633,11064.799999904633,11050.8,11064.799999904633,1,11064.799999904633,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
