Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,TrialsPerBlock,stimuli_type,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress
652,1748035320084,23/05/2025 21:22:00,1748010120084,-7,23/05/2025 07:22:00,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,77,trial,response,b4qig6,4,response,93,667,1367,1384,667,1367,1384,1,667,717,0,response_slider,Slider,Slider,2,object-45,trial,O_OO_dur_7_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,7,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
653,1748035320216,23/05/2025 21:22:00,1748010120216,-7,23/05/2025 07:22:00,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,150 ms pause,rz316y,1,timedOut,,150,150,150,150,150,150,1,150,0,0,,Time Limit,screen,0,screen,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
654,1748035320219,23/05/2025 21:22:00,1748010120219,-7,23/05/2025 07:22:00,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,fixation and stimuli,qfds9m,2,info,audio started,2,0,2,2,0,2,1,2,0,0,,Audio Clip,Audio stim,2,object-177,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
655,1748035320742,23/05/2025 21:22:00,1748010120742,-7,23/05/2025 07:22:00,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,fixation and stimuli,qfds9m,2,info,audio finished,525,516,525,525,516,525,1,525,0,0,,Audio Clip,Audio stim,2,object-177,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
656,1748035320742,23/05/2025 21:22:00,1748010120742,-7,23/05/2025 07:22:00,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,fixation and stimuli,qfds9m,2,continue,,525,516,525,525,516,525,1,525,0,0,,Audio Clip,Audio stim,2,object-177,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
657,1748035320883,23/05/2025 21:22:00,1748010120883,-7,23/05/2025 07:22:00,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,150ms pause,ceke9i,3,timedOut,,151,150,151,151,150,151,1,151,0,0,,Time Limit,screen,0,screen,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
658,1748035320888,23/05/2025 21:22:00,1748010120888,-7,23/05/2025 07:22:00,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,response,b4qig6,4,info,,5,0,5,5,0,5,1,5,0,0,response_slider,Slider,Slider,2,object-45,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
659,1748035322859,23/05/2025 21:22:02,1748010122859,-7,23/05/2025 07:22:02,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,response,b4qig6,4,continue,,1976,1967,1976,1976,1967,1976,1,1976,0,0,,Click To Continue,Continue Button,6,object-328,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,22
660,1748035322860,23/05/2025 21:22:02,1748010122860,-7,23/05/2025 07:22:02,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,78,trial,response,b4qig6,4,response,6,1216,1967,1976,1216,1967,1976,1,1216,760,0,response_slider,Slider,Slider,2,object-45,trial,O_OO_dur_4_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,4,3,left_word,right_word,,,,28,,toru.png,tooru.png,,23
661,1748035323000,23/05/2025 21:22:03,1748010123000,-7,23/05/2025 07:22:03,220732,2,task-dvtf,repeat-m9cn#4,46442986,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1680x1050,1680x876,final training complete SAMEDIF,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,spreadsheet4_1D,28,,spreadsheet4_1D,79,trial,150 ms pause,rz316y,1,timedOut,,150,150,150,150,150,150,1,150,0,0,,Time Limit,screen,0,screen,trial,O_OO_dur_7_F0_3_tooru_origin.mp3,toru-tooru,Japanese,4,,,7,3,left_word,right_word,,,,28,,toru.png,tooru.png,,23
