Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,Spreadsheet,TrialsPerBlock,stimuli_type,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress
1,1746342792711,04/05/2025 07:13:12,1746317592711,-7,03/05/2025 17:13:12,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1746342814798,04/05/2025 07:13:34,1746317614798,-7,03/05/2025 17:13:34,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,welcome and task description,dabwcr,1,continue,,21403.29999999963,21400,21403.29999999963,21403.29999999963,21400,21403.29999999963,1,21403.29999999963,0,0,,Click To Continue,Continue Button,3,object-283,instructions_1D,,,,,,,,,,,,,,28,,,,,
3,1746342822749,04/05/2025 07:13:42,1746317622749,-7,03/05/2025 17:13:42,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,fixation,71ygsn,2,continue,,7954.400000000187,7950.000000000004,7954.400000000187,7954.400000000187,7950.000000000004,7954.400000000187,1,7954.400000000187,0,0,,Click To Continue,Continue Button,2,object-287,instructions_1D,,,,,,,,,,,,,,28,,,,,
4,1746342822753,04/05/2025 07:13:42,1746317622753,-7,03/05/2025 17:13:42,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,trial,y8sx24,3,info,,8.79999999962456,0,8.79999999962456,8.79999999962456,0,8.79999999962456,1,8.79999999962456,0,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,
5,1746342842123,04/05/2025 07:14:02,1746317642123,-7,03/05/2025 17:14:02,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,trial,y8sx24,3,continue,,19378.49999999981,19366.799999999996,19378.49999999981,19378.49999999981,19366.799999999996,19378.49999999981,1,19378.49999999981,0,0,,Click To Continue,Continue Button,3,object-293,instructions_1D,,,,,,,,,,,,,,28,,,,,
6,1746342842125,04/05/2025 07:14:02,1746317642125,-7,03/05/2025 17:14:02,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,trial,y8sx24,3,response,50,14233.399999999994,19366.799999999996,19380.199999999066,14233.399999999994,19366.799999999996,19380.199999999066,1,14233.399999999994,5146.799999999072,0,,Slider,Slider,2,object-292,instructions_1D,,,,,,,,,,,,,,28,,,,,
7,1746342848039,04/05/2025 07:14:08,1746317648039,-7,03/05/2025 17:14:08,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,no feedback,ebnzxp,4,continue,,5928.00000000056,5916.700000000004,5928.00000000056,5928.00000000056,5916.700000000004,5928.00000000056,1,5928.00000000056,0,0,,Click To Continue,Continue Button,2,object-297,instructions_1D,,,,,,,,,,,,,,28,,,,,
8,1746342866630,04/05/2025 07:14:26,1746317666630,-7,03/05/2025 17:14:26,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,adjust,vl7wbf,5,continue,,18602.800000000556,18600,18602.800000000556,18602.800000000556,18600,18602.800000000556,1,18602.800000000556,0,0,,Click To Continue,Continue Button,2,object-343,instructions_1D,,,,,,,,,,,,,,28,,,,,
9,1746342889635,04/05/2025 07:14:49,1746317689635,-7,03/05/2025 17:14:49,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,23006.800000000556,23001.800000000003,23006.800000000556,23006.800000000556,23001.800000000003,23006.800000000556,1,23006.800000000556,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
10,1746342890396,04/05/2025 07:14:50,1746317690396,-7,03/05/2025 17:14:50,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,23768.199999999066,23766.699999999997,23768.199999999066,23768.199999999066,23766.699999999997,23768.199999999066,1,23768.199999999066,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
11,1746342891462,04/05/2025 07:14:51,1746317691462,-7,03/05/2025 17:14:51,220234,3,task-kpsz,,45845718,BLIND,13263284,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x911,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,,,day 1 complete,,spreadsheet3_1D,28,,spreadsheet3_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,24834.699999999066,24833.300000000003,24834.699999999066,24834.699999999066,24833.300000000003,24834.699999999066,1,24834.699999999066,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,
