Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,Spreadsheet,TrialsPerBlock,stimuli_type,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sound,Spreadsheet: pair,Spreadsheet: language,Spreadsheet: randomize_trials,Spreadsheet: left_word,Spreadsheet: right_word,Spreadsheet: first_dim_step,Spreadsheet: second_dim_step,Spreadsheet: endpoint_1,Spreadsheet: endpoint_2,Spreadsheet: break_duration,Spreadsheet: block_display,Manipulation: Spreadsheet,Manipulation: TrialsPerBlock,Manipulation: stimuli_type,Store: left_word,Store: right_word,Store: spreadsheet,Store: Progress
11,1745552553885,25/04/2025 03:42:33,1745527353885,-7,24/04/2025 13:42:33,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,19165.79999999999,19157.899999999994,19165.79999999999,19165.79999999999,19157.899999999994,19165.79999999999,1,19165.79999999999,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,
12,1745552554677,25/04/2025 03:42:34,1745527354677,-7,24/04/2025 13:42:34,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,19950.29999999999,19941.59999999999,19950.29999999999,19950.29999999999,19941.59999999999,19950.29999999999,1,19950.29999999999,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,
13,1745552556244,25/04/2025 03:42:36,1745527356244,-7,24/04/2025 13:42:36,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,21524.399999999994,21516.09999999999,21524.399999999994,21524.399999999994,21516.09999999999,21524.399999999994,1,21524.399999999994,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
14,1745552557002,25/04/2025 03:42:37,1745527357002,-7,24/04/2025 13:42:37,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,22284.000000143045,22282.699999999997,22284.000000143045,22284.000000143045,22282.699999999997,22284.000000143045,1,22284.000000143045,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
15,1745552557820,25/04/2025 03:42:37,1745527357820,-7,24/04/2025 13:42:37,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,23102.100000047678,23099.29999999999,23102.100000047678,23102.100000047678,23099.29999999999,23102.100000047678,1,23102.100000047678,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,
16,1745552558605,25/04/2025 03:42:38,1745527358605,-7,24/04/2025 13:42:38,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,23887.100000047678,23882.59999999999,23887.100000047678,23887.100000047678,23882.59999999999,23887.100000047678,1,23887.100000047678,0,0,,Audio Clip,intent,3,object-302,instructions_1D,,,,,,,,,,,,,,28,,,,,
17,1745552558731,25/04/2025 03:42:38,1745527358731,-7,24/04/2025 13:42:38,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,24013.30000009536,24007.59999999999,24013.30000009536,24013.30000009536,24007.59999999999,24013.30000009536,1,24013.30000009536,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
18,1745552559494,25/04/2025 03:42:39,1745527359494,-7,24/04/2025 13:42:39,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,24776.30000009536,24774.79999999999,24776.30000009536,24776.30000009536,24774.79999999999,24776.30000009536,1,24776.30000009536,0,0,,Audio Clip,indent,2,object-301,instructions_1D,,,,,,,,,,,,,,28,,,,,
19,1745552559506,25/04/2025 03:42:39,1745527359506,-7,24/04/2025 13:42:39,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio started,24788.600000047678,24782.699999999997,24788.600000047678,24788.600000047678,24782.699999999997,24788.600000047678,1,24788.600000047678,0,0,,Audio Clip,reason,4,object-303,instructions_1D,,,,,,,,,,,,,,28,,,,,
20,1745552560216,25/04/2025 03:42:40,1745527360216,-7,24/04/2025 13:42:40,220234,3,task-f3fu,,45630448,BLIND,13266036,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x640,day 1 complete,,0,VAS Task,5,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet3,,day 1 complete,,spreadsheet1_1D,28,,spreadsheet1_1D,1,instructions_1D,samples,bt77lf,6,info,audio finished,25498.500000143045,25491.199999999997,25498.500000143045,25498.500000143045,25491.199999999997,25498.500000143045,1,25498.500000143045,0,0,,Audio Clip,reason,4,object-303,instructions_1D,,,,,,,,,,,,,,28,,,,,
