"display","sound","pair","language","first_dim_step","second_dim_step","endpoint_1","endpoint_2","left_word","right_word","randomize_trials","break_duration","block_display"
"trial","T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_1_F0_3.mp3","kata-katta","Japanese",1,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_2_F0_3.mp3","kata-katta","Japanese",2,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_3_F0_3.mp3","kata-katta","Japanese",3,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_4_F0_3.mp3","kata-katta","Japanese",4,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_5_F0_3.mp3","kata-katta","Japanese",5,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_6_F0_3.mp3","kata-katta","Japanese",6,3,"left_word","right_word",,,3,"",
"trial","T_TT_dur_7_F0_3.mp3","kata-katta","Japanese",7,3,"left_word","right_word",,,3,"",
"break_1D",,,,,,,,,,,"30000",
"block_display",,"toru-tooru",,,,,,"toru.png","tooru.png",,"","Block 4 of 4"
"trial","O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_1_F0_3_toru_origin.mp3","toru-tooru","Japanese",1,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_2_F0_3_toru_origin.mp3","toru-tooru","Japanese",2,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_3_F0_3_toru_origin.mp3","toru-tooru","Japanese",3,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_4_F0_3_tooru_origin.mp3","toru-tooru","Japanese",4,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_5_F0_3_tooru_origin.mp3","toru-tooru","Japanese",5,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_6_F0_3_tooru_origin.mp3","toru-tooru","Japanese",6,3,"left_word","right_word",,,4,"",
"trial","O_OO_dur_7_F0_3_tooru_origin.mp3","toru-tooru","Japanese",7,3,"left_word","right_word",,,4,"",
"end",,,,,,,,,,,"",
