endpoint1,endpoint2,step,time_index,time,f1,f2,f3
reason_1,risen_1,5,2,0.041,357,1352,2393
reason_1,risen_1,5,3,0.05,370,1410,2449
reason_1,risen_1,5,4,0.058,379,1515,2538
reason_1,risen_1,5,5,0.066,382,1647,2616
reason_1,risen_1,5,6,0.074,386,1794,2667
reason_1,risen_1,5,7,0.083,391,1960,2717
reason_1,risen_1,5,8,0.091,398,2132,2780
reason_1,risen_1,5,9,0.099,403,2222,2848
reason_1,risen_1,5,10,0.107,408,2277,2904
reason_1,risen_1,5,11,0.116,410,2308,2956
reason_1,risen_1,5,12,0.124,413,2341,2997
reason_1,risen_1,5,13,0.132,417,2365,3066
reason_1,risen_1,5,14,0.14,421,2365,3110
reason_1,risen_1,5,15,0.149,426,2373,3118
reason_1,risen_1,5,16,0.157,431,2377,3094
reason_1,risen_1,5,17,0.165,435,2364,3080
reason_1,risen_1,5,18,0.173,438,2349,3073
reason_1,risen_1,5,19,0.182,440,2337,3074
reason_1,risen_1,5,20,0.19,442,2347,3068
reason_1,risen_1,5,21,0.198,442,2337,3052
reason_1,risen_1,5,22,0.206,441,2310,3048
reason_1,risen_1,5,23,0.215,437,2271,3051
reason_1,risen_1,5,24,0.223,432,2234,3059
reason_1,risen_1,5,25,0.231,426,2182,3056
reason_1,risen_1,5,26,0.239,417,2141,3048
reason_1,risen_1,5,27,0.248,406,2100,3037
reason_1,risen_1,5,28,0.256,394,2072,3033
reason_1,risen_1,5,29,0.264,381,2075,3041
reason_1,risen_1,5,30,0.272,375,2093,3047
reason_1,risen_1,6,1,0.033,358,1388,2326
reason_1,risen_1,6,2,0.041,361,1391,2334
reason_1,risen_1,6,3,0.05,375,1432,2400
reason_1,risen_1,6,4,0.058,383,1524,2503
reason_1,risen_1,6,5,0.066,387,1649,2584
reason_1,risen_1,6,6,0.074,391,1781,2635
reason_1,risen_1,6,7,0.083,397,1923,2684
reason_1,risen_1,6,8,0.091,406,2085,2752
reason_1,risen_1,6,9,0.099,414,2159,2823
reason_1,risen_1,6,10,0.107,420,2200,2876
reason_1,risen_1,6,11,0.116,423,2218,2926
reason_1,risen_1,6,12,0.124,427,2235,2969
reason_1,risen_1,6,13,0.132,431,2247,3024
reason_1,risen_1,6,14,0.14,437,2242,3060
reason_1,risen_1,6,15,0.149,443,2253,3068
reason_1,risen_1,6,16,0.157,448,2263,3045
reason_1,risen_1,6,17,0.165,452,2256,3024
reason_1,risen_1,6,18,0.173,455,2242,3014
reason_1,risen_1,6,19,0.182,456,2229,3016
reason_1,risen_1,6,20,0.19,456,2241,3013
reason_1,risen_1,6,21,0.198,455,2232,3000
reason_1,risen_1,6,22,0.206,451,2207,2999
reason_1,risen_1,6,23,0.215,444,2176,3006
reason_1,risen_1,6,24,0.223,437,2145,3015
reason_1,risen_1,6,25,0.231,428,2103,3015
reason_1,risen_1,6,26,0.239,418,2076,3008
reason_1,risen_1,6,27,0.248,406,2049,2999
reason_1,risen_1,6,28,0.256,393,2035,2997
reason_1,risen_1,6,29,0.264,382,2047,3004
reason_1,risen_1,6,30,0.272,376,2070,3010
reason_1,risen_1,7,1,0.033,362,1429,2267
reason_1,risen_1,7,2,0.041,365,1431,2277
reason_1,risen_1,7,3,0.05,380,1456,2353
reason_1,risen_1,7,4,0.058,388,1533,2469
reason_1,risen_1,7,5,0.066,391,1651,2553
reason_1,risen_1,7,6,0.074,396,1769,2603
reason_1,risen_1,7,7,0.083,404,1887,2651
reason_1,risen_1,7,8,0.091,415,2038,2724
reason_1,risen_1,7,9,0.099,424,2099,2799
reason_1,risen_1,7,10,0.107,431,2125,2849
reason_1,risen_1,7,11,0.116,436,2132,2895
reason_1,risen_1,7,12,0.124,441,2135,2942
reason_1,risen_1,7,13,0.132,446,2136,2983
reason_1,risen_1,7,14,0.14,452,2126,3011
reason_1,risen_1,7,15,0.149,459,2139,3019
reason_1,risen_1,7,16,0.157,466,2156,2997
reason_1,risen_1,7,17,0.165,470,2153,2969
reason_1,risen_1,7,18,0.173,472,2140,2956
reason_1,risen_1,7,19,0.182,472,2126,2958
reason_1,risen_1,7,20,0.19,471,2141,2960
reason_1,risen_1,7,21,0.198,468,2132,2948
reason_1,risen_1,7,22,0.206,461,2109,2950
reason_1,risen_1,7,23,0.215,452,2085,2962
reason_1,risen_1,7,24,0.223,441,2059,2971
reason_1,risen_1,7,25,0.231,431,2027,2974
reason_1,risen_1,7,26,0.239,418,2013,2969
reason_1,risen_1,7,27,0.248,405,1999,2962
reason_1,risen_1,7,28,0.256,393,1999,2962
reason_1,risen_1,7,29,0.264,383,2019,2967
reason_1,risen_1,7,30,0.272,377,2047,2974
