Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,F_response,J_response,TrialsPerBlock,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: word_pair,Spreadsheet: signal,Spreadsheet: break_duration,Spreadsheet: word_A,Spreadsheet: word_B,Spreadsheet: sound_A_male,Spreadsheet: sound_A_female,Spreadsheet: sound_B_male,Spreadsheet: sound_B_female,Spreadsheet: sound_1,Spreadsheet: sound_2,Spreadsheet: alt_writing_A,Spreadsheet: alt_writing_B,Spreadsheet: orthography_A,Spreadsheet: orthography_B,Spreadsheet: language,Spreadsheet: gloss_A,Spreadsheet: gloss_B,Spreadsheet: pitch_accent_A,Spreadsheet: pitch_accent_B,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity_A,Spreadsheet: phoneme_identity_B,Spreadsheet: length_A,Spreadsheet: length_B,Spreadsheet: segment_type,Spreadsheet: word_position,Spreadsheet: task,Spreadsheet: block_display,Spreadsheet: randomize_language_blocks,Spreadsheet: transliteration_A,Spreadsheet: transliteration_B,Manipulation: Spreadsheet,Manipulation: F_response,Manipulation: J_response,Manipulation: TrialsPerBlock,Store: Progress,Store: FeedbackProgress
1436,1743740191308,04/04/2025 04:16:31,1743725791308,-4,03/04/2025 20:16:31,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,143,training_trial,sound2,pdcnoi,4,info,audio finished,537.999999982072,532.0999999999767,537.999999982072,537.999999982072,532.0999999999767,537.999999982072,1,537.999999982072,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BA,iso-isso,different,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_isso.mp3,F_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,4,iso,isso,,SAME,DIFFERENT,36,35,34
1437,1743740191310,04/04/2025 04:16:31,1743725791310,-4,03/04/2025 20:16:31,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,143,training_trial,sound2,pdcnoi,4,continue,,539.499999982072,532.0999999999767,539.499999982072,539.499999982072,532.0999999999767,539.499999982072,1,539.499999982072,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BA,iso-isso,different,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_isso.mp3,F_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,4,iso,isso,,SAME,DIFFERENT,36,35,34
1438,1743740192558,04/04/2025 04:16:32,1743725792558,-4,03/04/2025 20:16:32,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,143,training_trial,response,ywcoe5,5,response,DIFFERENT,1247.6999999999534,1232.6999999999534,1247.6999999999534,1247.6999999999534,1232.6999999999534,1247.6999999999534,1,1247.6999999999534,0,0,key_response,Keyboard Response,Keyboard Response,3,object-329,training_trial,BA,iso-isso,different,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_isso.mp3,F_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,4,iso,isso,,SAME,DIFFERENT,36,36,35
1439,1743740193343,04/04/2025 04:16:33,1743725793343,-4,03/04/2025 20:16:33,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,143,training_trial,correct,68extd,6,continue,,807.5999999881024,799.5999999999767,807.5999999881024,807.5999999881024,799.5999999999767,807.5999999881024,1,807.5999999881024,0,0,,Space To Continue,Press Space to Continue,3,object-338,training_trial,BA,iso-isso,different,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_isso.mp3,F_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,4,iso,isso,,SAME,DIFFERENT,36,36,35
1440,1743740193835,04/04/2025 04:16:33,1743725793835,-4,03/04/2025 20:16:33,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,144,training_trial,fixation,5y7evd,1,continue,,499.80000000004657,499.80000000004657,499.80000000004657,499.80000000004657,499.80000000004657,499.80000000004657,1,499.80000000004657,0,0,,Fixation Timing,Fixation,1,object-213,training_trial,AA,iso-isso,same,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_iso.mp3,M_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,2,iso,isso,,SAME,DIFFERENT,36,36,35
1441,1743740193840,04/04/2025 04:16:33,1743725793840,-4,03/04/2025 20:16:33,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,144,training_trial,sound1,emeov4,2,info,audio started,5.699999988079071,0,5.699999988079071,5.699999988079071,0,5.699999988079071,1,5.699999988079071,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,iso-isso,same,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_iso.mp3,M_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,2,iso,isso,,SAME,DIFFERENT,36,36,35
1442,1743740194399,04/04/2025 04:16:34,1743725794399,-4,03/04/2025 20:16:34,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,144,training_trial,sound1,emeov4,2,info,audio finished,563.5999999940395,549.9000000000233,563.5999999940395,563.5999999940395,549.9000000000233,563.5999999940395,1,563.5999999940395,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,iso-isso,same,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_iso.mp3,M_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,2,iso,isso,,SAME,DIFFERENT,36,36,35
1443,1743740194400,04/04/2025 04:16:34,1743725794400,-4,03/04/2025 20:16:34,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,144,training_trial,sound1,emeov4,2,continue,,566.0999999940395,549.9000000000233,566.0999999940395,566.0999999940395,549.9000000000233,566.0999999940395,1,566.0999999940395,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AA,iso-isso,same,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_iso.mp3,M_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,2,iso,isso,,SAME,DIFFERENT,36,36,35
1444,1743740194885,04/04/2025 04:16:34,1743725794885,-4,03/04/2025 20:16:34,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,144,training_trial,ISI,s3rz1h,3,timedOut,,500.19999999401625,499.69999999995343,500.19999999401625,500.19999999401625,499.69999999995343,500.19999999401625,1,500.19999999401625,0,0,,Time Limit,screen,0,screen,training_trial,AA,iso-isso,same,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_iso.mp3,M_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,2,iso,isso,,SAME,DIFFERENT,36,36,35
1445,1743740194890,04/04/2025 04:16:34,1743725794890,-4,03/04/2025 20:16:34,220732,2,task-8adl,,45096178,BLIND,13062460,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1280x720,1280x598,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet2,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_high_LD,SAME,DIFFERENT,36,training_high_LD,144,training_trial,sound2,pdcnoi,4,info,audio started,5.799999976181425,0,5.799999976181425,5.799999976181425,0,5.799999976181425,1,5.799999976181425,0,0,,Audio Clip,Sound2,2,object-253,training_trial,AA,iso-isso,same,,iso,isso,M_iso.mp3,F_iso.mp3,M_isso.mp3,F_isso.mp3,M_iso.mp3,M_iso.mp3,いそ,いっそ,磯（いそ）,いっそ,Japanese,seashore,"rather, preferably; on the contrary",LH,LHH,s,s,ss,short,long,consonant,medial,training,,2,iso,isso,,SAME,DIFFERENT,36,36,35
