Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,F_response,J_response,TrialsPerBlock,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: word_pair,Spreadsheet: signal,Spreadsheet: break_duration,Spreadsheet: word_A,Spreadsheet: word_B,Spreadsheet: sound_A_male,Spreadsheet: sound_A_female,Spreadsheet: sound_B_male,Spreadsheet: sound_B_female,Spreadsheet: sound_1,Spreadsheet: sound_2,Spreadsheet: alt_writing_A,Spreadsheet: alt_writing_B,Spreadsheet: orthography_A,Spreadsheet: orthography_B,Spreadsheet: language,Spreadsheet: gloss_A,Spreadsheet: gloss_B,Spreadsheet: pitch_accent_A,Spreadsheet: pitch_accent_B,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity_A,Spreadsheet: phoneme_identity_B,Spreadsheet: length_A,Spreadsheet: length_B,Spreadsheet: segment_type,Spreadsheet: word_position,Spreadsheet: task,Spreadsheet: block_display,Spreadsheet: randomize_language_blocks,Spreadsheet: transliteration_A,Spreadsheet: transliteration_B,Manipulation: Spreadsheet,Manipulation: F_response,Manipulation: J_response,Manipulation: TrialsPerBlock,Store: Progress,Store: FeedbackProgress
1944,1745522286972,24/04/2025 19:18:06,1745507886972,-4,24/04/2025 11:18:06,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,189,training_trial,response,ywcoe5,5,response,SAME,202.30000000004657,200.30000000004657,202.30000000004657,202.30000000004657,200.30000000004657,202.30000000004657,1,202.30000000004657,0,0,key_response,Keyboard Response,Keyboard Response,3,object-329,training_trial,AA,ojisan-ojiisan,same,,ojisan,ojiisan,M_ojisan.mp3,F_ojisan.mp3,M_ojiisan.mp3,F_ojiisan.mp3,F_ojisan.mp3,F_ojisan.mp3,おじさん,おじいさん,おじさん,おじいさん,Japanese,"uncle, adult/middle-aged man","grandpa, elderly man",LHHH,LHLLL,i,i,ii,short,long,vowel,medial,training,,1,ojisan,ojiisan,,SAME,DIFFERENT,36,10,9
1945,1745522287119,24/04/2025 19:18:07,1745507887119,-4,24/04/2025 11:18:07,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,189,training_trial,correct,68extd,6,continue,,150.19999999995343,146,150.19999999995343,150.19999999995343,146,150.19999999995343,1,150.19999999995343,0,0,,Space To Continue,Press Space to Continue,3,object-338,training_trial,AA,ojisan-ojiisan,same,,ojisan,ojiisan,M_ojisan.mp3,F_ojisan.mp3,M_ojiisan.mp3,F_ojiisan.mp3,F_ojisan.mp3,F_ojisan.mp3,おじさん,おじいさん,おじさん,おじいさん,Japanese,"uncle, adult/middle-aged man","grandpa, elderly man",LHHH,LHLLL,i,i,ii,short,long,vowel,medial,training,,1,ojisan,ojiisan,,SAME,DIFFERENT,36,10,9
1946,1745522287616,24/04/2025 19:18:07,1745507887616,-4,24/04/2025 11:18:07,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,fixation,5y7evd,1,continue,,500.4000000000233,500.4000000000233,500.4000000000233,500.4000000000233,500.4000000000233,500.4000000000233,1,500.4000000000233,0,0,,Fixation Timing,Fixation,1,object-213,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
1947,1745522287618,24/04/2025 19:18:07,1745507887618,-4,24/04/2025 11:18:07,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,sound1,emeov4,2,info,audio started,3.799999928451143,0,3.799999928451143,3.799999928451143,0,3.799999928451143,1,3.799999928451143,0,0,,Audio Clip,Sound1,2,object-215,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
1948,1745522288388,24/04/2025 19:18:08,1745507888388,-4,24/04/2025 11:18:08,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,sound1,emeov4,2,info,audio finished,773.0999999999767,771.5,773.0999999999767,773.0999999999767,771.5,773.0999999999767,1,773.0999999999767,0,0,,Audio Clip,Sound1,2,object-215,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
1949,1745522288388,24/04/2025 19:18:08,1745507888388,-4,24/04/2025 11:18:08,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,sound1,emeov4,2,continue,,773.6999999046093,771.5,773.6999999046093,773.6999999046093,771.5,773.6999999046093,1,773.6999999046093,0,0,,Audio Clip,Sound1,2,object-215,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
1950,1745522288887,24/04/2025 19:18:08,1745507888887,-4,24/04/2025 11:18:08,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,ISI,s3rz1h,3,timedOut,,501.0999999999767,500.69999999995343,501.0999999999767,501.0999999999767,500.69999999995343,501.0999999999767,1,501.0999999999767,0,0,,Time Limit,screen,0,screen,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
1951,1745522288890,24/04/2025 19:18:08,1745507888890,-4,24/04/2025 11:18:08,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,sound2,pdcnoi,4,info,audio started,3.4999999046558514,0,3.4999999046558514,3.4999999046558514,0,3.4999999046558514,1,3.4999999046558514,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
1952,1745522289491,24/04/2025 19:18:09,1745507889491,-4,24/04/2025 11:18:09,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,sound2,pdcnoi,4,info,audio finished,603.9000000000233,600.4000000000233,603.9000000000233,603.9000000000233,600.4000000000233,603.9000000000233,1,603.9000000000233,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
1953,1745522289491,24/04/2025 19:18:09,1745507889491,-4,24/04/2025 11:18:09,220221,4,task-h7d6,repeat-m9cn#4,45625120,BLIND,13022562,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x911,final training complete SAMEDIF,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet4,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,training_low_LD,SAME,DIFFERENT,36,training_low_LD,190,training_trial,sound2,pdcnoi,4,continue,,604.2999999761814,600.4000000000233,604.2999999761814,604.2999999761814,600.4000000000233,604.2999999761814,1,604.2999999761814,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BA,gaki-gakki,different,,gaki,gakki,M_gaki.mp3,F_gaki.mp3,M_gakki.mp3,F_gakki.mp3,F_gakki.mp3,M_gaki.mp3,がき,がっき,ガキ（がき）,楽器（がっき）,Japanese,"brat, kid",musical instrument,LH(L)/HL,LHH,k,k,kk,short,long,consonant,medial,training,,7,gaki,gakki,,SAME,DIFFERENT,36,10,9
