"ID","exp_group","prepost","response","reaction_time","correct","sentence","key_word","sound","correct_answer","competing_distractor","non_competing_distractor_1","non_competing_distractor_2","origin_task","days_between","log_rt"
"2","Control","Post","juyoo",56381.90000000002,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing",39,10.939903463993854
"2","Control","Post","shuushin",12788.79999998212,0,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",39,9.456325066870356
"2","Control","Post","iitai",10263.39999998809,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing",39,9.236339447843639
"2","Control","Post","ikko",18052.899999982095,0,"あの___はまだですね。","ikkoo_s","F_ikkoo_s.mp3","ikkoo","ikoo","ikko","iikoo","testing",39,9.80106161567477
"3","Control","Pre","hossoku",17115.90000000001,1,"いや、___じゃないよ。","hossoku_s","F_hossoku_s.mp3","hossoku","hosoku","hoosoku","hassoku","testing",23,9.747763135033079
"3","Control","Pre","ojiisan",14760.699999999995,1,"___をしっていますか？","ojiisan_s","F_ojiisan_s.mp3","ojiisan","ojisan","oojisan","ochisan","training",23,9.599723522504165
"3","Control","Pre","tannin",9914.699999999995,1,"___はしりません。","tannin_s","F_tannin_s.mp3","tannin","tanin","taiin","tainin","testing",23,9.201773783310056
"3","Control","Pre","juyoo",17139.10000000037,1,"「___」ってどういういみですか？","juyoo_s","F_juyoo_s.mp3","juyoo","juuyoo","juyo","shuyoo","testing",23,9.749117682021701
"3","Control","Pre","gaki",10032.700000000375,1,"___はどうなったの？","gaki_s","F_gaki_s.mp3","gaki","gakki","gakui","kaki","training",23,9.213605037152972
"3","Control","Pre","iitai",7399.399999998888,1,"「___」とかいてありますか？","iitai_s","F_iitai_s.mp3","iitai","itai","ittai","intai","testing",23,8.909154194823781
"3","Control","Pre","shusshin",9916.5,0,"かれに___についてきいてください。","shushin_s","F_shushin_s.mp3","shushin","shusshin","shuushin","shujin","testing",23,9.201955315441742
"3","Control","Pre","meshi",14020.899999999252,1,"これは___ですよ。","meshi_s","F_meshi_s.mp3","meshi","meeshi","messhi","mashi","testing",23,9.54830435253674
"3","Control","Pre","obasan",15316.400000000023,1,"あのひと、___ですか？","obasan_s","F_obasan_s.mp3","obasan","obaasan","oobasan","obaisan","training",23,9.636679428735656
"3","Control","Pre","shuchoo",17131.900000000373,1,"じぶんだけの___です。","shuchoo_s","F_shuchoo_s.mp3","shuchoo","shucchoo","juchoo","shuuchoo","testing",23,9.74869750168813
"3","Control","Pre","itte",5627.9000000003725,1,"もう、___よ！","itte_s","F_itte_s.mp3","itte","ite","ittee","iitte","training",23,8.635491649775137
