"local_date","day","ID","response","reaction_time","correct","condition","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-03-13","1","101","different",1006.5000000029833,0,"highLD","rakaza-rakkaza","same","AA","rakaza","rakkaza","F_rakaza.mp3","M_rakaza.mp3","different","MSA","to implant, embed","to focus, concentrate","","","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",6.9142342450828105,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",2874.000000002983,1,"highLD","watara-wattara","different","AB","watara","wattara","F_watara.mp3","F_wattara.mp3","same","MSA","to wrong, harm","to stretch, strain, tighten","","","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",7.963460066640009,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1499.8999999999942,0,"highLD","dhakara-dhakkara","same","AA","dhakara","dhakkara","M_dhakara.mp3","F_dhakara.mp3","different","MSA","to mention; remember","to remind, point out","","","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",7.31315371820131,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1197,0,"highLD","rasaba-rassaba","same","BB","rasaba","rassaba","M_rassaba.mp3","F_rassaba.mp3","different","MSA","to fail - intransitive","to fail (someone) - transitive","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",7.087573705557973,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",387.3000000000029,1,"highLD","kasara-kassara","same","AA","kasara","kassara","M_kasara.mp3","M_kasara.mp3","same","MSA","to break","to shatter","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",5.959199586520714,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",821.6999999940454,1,"highLD","3alim-3aliim","different","AB","3alim","3aliim","M_3alim.mp3","M_3aliim.mp3","same","MSA","(he) knew","knowledgeable","","","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",6.7113753649298955,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1312.6000000000058,1,"highLD","kataba-kaataba","different","BA","kataba","kaataba","F_kaataba.mp3","M_kataba.mp3","different","MSA","(he) wrote","(he) corresponded with","","","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",7.179765182039627,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",421.30000000298605,1,"highLD","watara-wattara","same","AA","watara","wattara","F_watara.mp3","F_watara.mp3","same","MSA","to wrong, harm","to stretch, strain, tighten","","","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",6.043345168992059,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1371.5999999940395,0,"highLD","rashada-rashshada","different","BA","rashada","rashshada","M_rashshada.mp3","M_rashada.mp3","same","MSA","to be well guided, mature","to guide, lead","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",7.223733220584419,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",2335.9000000059605,1,"highLD","sakata-sakkata","different","AB","sakata","sakkata","M_sakata.mp3","M_sakkata.mp3","same","MSA","to be silent","to silence","","","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",7.756152534815193,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1291.800000000003,1,"highLD","3alim-3aliim","same","AA","3alim","3aliim","M_3alim.mp3","M_3alim.mp3","same","MSA","(he) knew","knowledgeable","","","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",7.163791873598375,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",839.5000000029686,0,"highLD","basaTa-bassaTa","same","BB","basaTa","bassaTa","F_bassaTa.mp3","M_bassaTa.mp3","different","MSA","to spread, extend","to simplify","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",6.732806476521132,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",794.9999999970314,1,"highLD","rakaza-rakkaza","different","AB","rakaza","rakkaza","M_rakaza.mp3","F_rakkaza.mp3","different","MSA","to implant, embed","to focus, concentrate","","","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",6.678342114650598,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1547.7000000029802,0,"highLD","rasaba-rassaba","different","AB","rasaba","rassaba","F_rasaba.mp3","M_rassaba.mp3","different","MSA","to fail - intransitive","to fail (someone) - transitive","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",7.3445252369206395,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",606.5000000029686,1,"highLD","ru7-ruu7","different","BA","ru7","ruu7","M_ruu7.mp3","M_ru7.mp3","same","MSA","go! [command]","spirit, soul","","","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",6.407704728389,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",784.0000000029686,1,"highLD","rasaba-rassaba","different","BA","rasaba","rassaba","F_rassaba.mp3","F_rasaba.mp3","same","MSA","to fail - intransitive","to fail (someone) - transitive","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",6.664409020354194,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1349.399999994028,1,"highLD","kasara-kassara","same","BB","kasara","kassara","M_kassara.mp3","F_kassara.mp3","different","MSA","to break","to shatter","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",7.207415328188899,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",2111,1,"highLD","rashada-rashshada","same","BB","rashada","rashshada","F_rashshada.mp3","M_rashshada.mp3","different","MSA","to be well guided, mature","to guide, lead","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",7.65491704784832,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",708.5,1,"highLD","ru7-ruu7","different","AB","ru7","ruu7","M_ru7.mp3","M_ruu7.mp3","same","MSA","go! [command]","spirit, soul","","","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",6.563150059130735,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",374.70000000298023,1,"highLD","kasara-kassara","same","BB","kasara","kassara","M_kassara.mp3","M_kassara.mp3","same","MSA","to break","to shatter","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",5.926125705807595,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",1316.5000000029686,0,"highLD","rashada-rashshada","different","AB","rashada","rashshada","F_rashada.mp3","M_rashshada.mp3","different","MSA","to be well guided, mature","to guide, lead","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",7.182731978938619,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",886.0999999970081,1,"highLD","bashara-bashshara","same","AA","bashara","bashshara","M_bashara.mp3","F_bashara.mp3","different","MSA","to rejoice","to bring good news, evangelize","","","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",6.786829811049881,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",846.0000000029686,1,"highLD","rasaba-rassaba","same","AA","rasaba","rassaba","M_rasaba.mp3","F_rasaba.mp3","different","MSA","to fail - intransitive","to fail (someone) - transitive","","","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",6.740519359609732,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",783.3999999940279,1,"highLD","zinah-ziinah","same","AA","zinah","ziinah","M_zinah.mp3","F_zinah.mp3","different","MSA","weight","decoration, embellishment","","","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",6.663643421224108,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",1039.199999997014,1,"highLD","kataba-kaataba","different","AB","kataba","kaataba","M_kataba.mp3","F_kaataba.mp3","different","MSA","(he) wrote","(he) corresponded with","","","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",6.946206465353517,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",2061.299999994051,1,"highLD","kataba-kaataba","different","AB","kataba","kaataba","M_kataba.mp3","F_kaataba.mp3","different","MSA","(he) wrote","(he) corresponded with","","","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",7.631092130702254,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","different",2077.6000000029744,1,"highLD","yusoo-yuusoo","different","AB","yusoo","yuusoo","M_yusoo.mp3","M_yuusoo.mp3","same","Japanese","transport, transportation","mailing, posting","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",7.6389686603499705,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",772.800000002986,0,"highLD","iso-isso","different","AB","iso","isso","F_iso.mp3","M_isso.mp3","different","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",6.650020282902172,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",770.300000002986,0,"highLD","ishoku-isshoku","different","BA","ishoku","isshoku","M_isshoku.mp3","F_ishoku.mp3","different","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",6.646780049362796,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
"2025-03-13","1","101","same",490.20000000298023,0,"highLD","ishoku-isshoku","different","AB","ishoku","isshoku","F_ishoku.mp3","M_isshoku.mp3","different","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",6.194813471100092,6.676831468930062,0.6830396595490722,8.72595044757728,4.627712490282845
