ID	ax_condition	day	prepost	language	pair	second_dim_step	first_dim_step	norm_response
124	highLD	1	pre-training	English	reason-risen	3	7	97
124	highLD	1	pre-training	English	reason-risen	3	7	100
124	highLD	1	pre-training	English	reason-risen	3	7	100
124	highLD	1	pre-training	Japanese	kata-katta	3	1	98
124	highLD	1	pre-training	Japanese	kata-katta	3	1	98
124	highLD	1	pre-training	Japanese	kata-katta	3	1	100
124	highLD	1	pre-training	Japanese	kata-katta	3	2	48
124	highLD	1	pre-training	Japanese	kata-katta	3	2	65
124	highLD	1	pre-training	Japanese	kata-katta	3	2	48
124	highLD	1	pre-training	Japanese	kata-katta	3	2	0
124	highLD	1	pre-training	Japanese	kata-katta	3	3	0
124	highLD	1	pre-training	Japanese	kata-katta	3	3	49
124	highLD	1	pre-training	Japanese	kata-katta	3	3	1
124	highLD	1	pre-training	Japanese	kata-katta	3	3	0
124	highLD	1	pre-training	Japanese	kata-katta	3	4	9
