ID	ax_condition	day	prepost	language	pair	second_dim_step	Min	Max	Crossover	Slope	PointVar	exitflag	R	LS	AR	N	status	comment
102	lowLD	1	pre-training	English	indent-intent	3	4.10617559509774e-07	99.7623568623581	2.99902037496381	103.216263518468	18.733367449946	2030	0.918895979992071	350.939056014697	-0.758724998878568	28	1	
102	lowLD	1	pre-training	English	reason-risen	3	0.491831477218341	99.3066943101699	4.65842688937796	143.292553720854	7.87964150719643	2030	0.986123912695399	62.0887502819328	-0.420278539608476	28	1	
102	lowLD	1	pre-training	Japanese	kata-katta	3	17.3041402266747	50.0387842866424	1.00000007262851	21.0952098692295	15.752341503213	2090	0.315559077793474	248.136262833847	-0.435377403782448	25	1	
102	lowLD	1	pre-training	Japanese	toru-tooru	3	1.53399213331795e-08	99.8332335648741	4.25320280519722	46.1691714468921	22.6520286102068	2020	0.886735920777094	513.114400157628	-0.456680653420105	25	1	
102	lowLD	2	post-training	English	indent-intent	3	9.70094689023426e-08	99.488536830023	2.76834602562745	114.657773991678	16.0125265501736	2030	0.937176229084492	256.401006520014	-0.0834841161513691	28	1	
102	lowLD	2	post-training	English	reason-risen	3	0.642621958081797	99.9999999731909	4.49771891523069	55.9469462092692	22.7176294466536	2070	0.882178661307684	516.090687675464	-0.291591755878311	28	1	
102	lowLD	2	post-training	Japanese	kata-katta	3	17.6146613527581	99.9998914267261	1.00195120432504	0.100000032004289	23.0626468516375	2090	0.00386934728051899	531.885679803346	-0.309621660410861	28	1	
102	lowLD	2	post-training	Japanese	toru-tooru	3	15.2054955131136	99.2189504670014	3.38548063260855	39.9193630477378	30.8384955175506	2090	0.74025832748593	951.012805785991	0.0868167960269776	27	1	
103	highLD	1	pre-training	English	indent-intent	3	3.47760931163066e-08	99.9999999171959	3.15173861877963	38.5261919845567	15.4055531828004	2030	0.929296250547417	237.331068868091	-0.170641671627687	28	1	
103	highLD	1	pre-training	English	reason-risen	3	14.9316069620585	97.4791960396214	4.20625396773445	26.8029851687967	11.2886588025261	2080	0.939784981061	127.433817559851	-0.294120825438308	28	1	
103	highLD	1	pre-training	Japanese	kata-katta	3	4.21141805873049e-08	99.9999999262693	3.61670815117753	22.670562355402	27.1657981490433	2080	0.773867189739132	737.980589074565	-0.287635294747205	28	1	
103	highLD	1	pre-training	Japanese	toru-tooru	3	2.41011619550591e-08	99.9999999112197	3.27313790745576	30.9570282719632	22.1885606622777	2010	0.860395213376648	492.332224263579	0.00780864907927997	28	1	
103	highLD	2	post-training	English	indent-intent	3	3.93475014515965	99.9999999853147	3.70735757484542	27.0369640620552	9.57888138987071	2080	0.965062488704407	91.7549686812114	0.259756381419115	27	1	
103	highLD	2	post-training	English	reason-risen	3	4.55621156604793	99.9999999040883	3.58009009775681	14.7941478933465	15.4869969251759	2100	0.844433141206437	239.847073760409	0.0129229939577216	27	1	
103	highLD	2	post-training	Japanese	kata-katta	3	8.90635052925859e-05	90.8439143568704	2.73704792138453	4.85497502033962	24.3426793914347	2050	0.364641180533892	592.566039954179	-0.178393066963491	27	1	
103	highLD	2	post-training	Japanese	toru-tooru	3	7.11089595378732	94.5016213009673	2.726627525746	85.9782493023227	11.8547858603618	2010	0.952566639764105	140.535947795035	0.0610735773047447	28	1	
104	lowLD	1	pre-training	English	indent-intent	3	7.09028093126562e-07	99.9103101611025	3.5592115269434	128.17307862312	5.95978571832086	2080	0.992256402493924	35.5190458083013	-0.442646955711469	28	1	
104	lowLD	1	pre-training	English	reason-risen	3	2.95913749695196	99.99999992904	4.67996583611737	34.0827673438752	20.2271172284316	2060	0.883976927935271	409.136271372716	-0.126961226074884	27	1	
104	lowLD	1	pre-training	Japanese	kata-katta	3	11.9310768421336	99.999999971406	4.86732505285537	20.6497672014547	25.0598102827798	2090	0.751017910251675	627.994091408916	-0.370454984516463	28	1	
104	lowLD	1	pre-training	Japanese	toru-tooru	3	1.36535412031926	99.9999999729743	3.78503493618491	39.4450500109797	21.6415674382454	2060	0.880228661671484	468.357441184122	-0.411843764746674	28	1	
104	lowLD	2	post-training	English	indent-intent	3	0.20278769499042	99.466018722203	3.21494319545301	125.514260618279	7.24758870705986	2050	0.987593069780418	52.5275420667017	-0.576150854648647	27	1	
104	lowLD	2	post-training	English	reason-risen	3	3.6891844215349	99.9999999861762	4.66236818901518	61.5149797551425	9.60139988585854	2020	0.974912884506872	92.1868797681644	-0.449375895264462	28	1	
104	lowLD	2	post-training	Japanese	kata-katta	3	7.87896741893489	98.5469290891332	2.87162086435266	86.0205973609169	14.9958006986829	2070	0.932642221088494	224.874038594618	-0.115625106781425	28	1	
104	lowLD	2	post-training	Japanese	toru-tooru	3	6.55361915846697e-08	99.9999995099204	4.13788241355538	45.1503741885108	21.0515943966227	2010	0.891261552704635	443.169626639917	-0.362625835694166	27	1	
106	highLD	1	pre-training	English	indent-intent	3	25.4416494552402	75.6973377142656	3.24922909221354	18.3239819991995	17.6973767440864	2020	0.727867864203468	313.19714362213	-0.158693322161939	24	1	
106	highLD	1	pre-training	English	reason-risen	3	38.3527500859601	99.999997336616	6.87086915375973	51.9049271841639	22.0212254205708	2020	0.52062812185271	484.934369023593	-0.226212525712432	26	1	
106	highLD	1	pre-training	Japanese	kata-katta	3	9.22002007255654	62.857736592285	1.19641703295449	23.5082025193572	20.6578992242661	2080	0.47212026859779	426.748800359936	-0.0920564781714579	26	1	
