Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Spreadsheet,F_response,J_response,TrialsPerBlock,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: word_pair,Spreadsheet: signal,Spreadsheet: break_duration,Spreadsheet: word_A,Spreadsheet: word_B,Spreadsheet: sound_A_male,Spreadsheet: sound_A_female,Spreadsheet: sound_B_male,Spreadsheet: sound_B_female,Spreadsheet: sound_1,Spreadsheet: sound_2,Spreadsheet: alt_writing_A,Spreadsheet: alt_writing_B,Spreadsheet: orthography_A,Spreadsheet: orthography_B,Spreadsheet: language,Spreadsheet: gloss_A,Spreadsheet: gloss_B,Spreadsheet: pitch_accent_A,Spreadsheet: pitch_accent_B,Spreadsheet: phoneme_quality,Spreadsheet: phoneme_identity_A,Spreadsheet: phoneme_identity_B,Spreadsheet: length_A,Spreadsheet: length_B,Spreadsheet: segment_type,Spreadsheet: word_position,Spreadsheet: task,Spreadsheet: block_display,Spreadsheet: randomize_language_blocks,Spreadsheet: transliteration_A,Spreadsheet: transliteration_B,Manipulation: Spreadsheet,Manipulation: F_response,Manipulation: J_response,Manipulation: TrialsPerBlock,Store: Progress,Store: FeedbackProgress
1304,1743041055849,27/03/2025 02:04:15,1743026655849,-4,26/03/2025 18:04:15,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,130,training_trial,ISI,s3rz1h,3,timedOut,,500.899999952293,500.0999999999767,500.899999952293,500.899999952293,500.0999999999767,500.899999952293,1,500.899999952293,0,0,,Time Limit,screen,0,screen,training_trial,BB,rashada-rashshada,same,,rashada,rashshada,M_rashada.mp3,F_rashada.mp3,M_rashshada.mp3,F_rashshada.mp3,M_rashshada.mp3,M_rashshada.mp3,rashada,rashshada,رَشَدَ,رَشَّدَ,MSA,"to be well guided, mature","to guide, lead",,,sh,sh,ssh,short,long,consonant,medial,training,,6,rashada,rashshada,,DIFFERENT,SAME,36,22,21
1305,1743041055852,27/03/2025 02:04:15,1743026655852,-4,26/03/2025 18:04:15,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,130,training_trial,sound2,pdcnoi,4,info,audio started,3.799999952316284,0,3.799999952316284,3.799999952316284,0,3.799999952316284,1,3.799999952316284,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BB,rashada-rashshada,same,,rashada,rashshada,M_rashada.mp3,F_rashada.mp3,M_rashshada.mp3,F_rashshada.mp3,M_rashshada.mp3,M_rashshada.mp3,rashada,rashshada,رَشَدَ,رَشَّدَ,MSA,"to be well guided, mature","to guide, lead",,,sh,sh,ssh,short,long,consonant,medial,training,,6,rashada,rashshada,,DIFFERENT,SAME,36,22,21
1306,1743041056596,27/03/2025 02:04:16,1743026656596,-4,26/03/2025 18:04:16,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,130,training_trial,sound2,pdcnoi,4,info,audio finished,748.6000000238419,741.9000000000233,748.6000000238419,748.6000000238419,741.9000000000233,748.6000000238419,1,748.6000000238419,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BB,rashada-rashshada,same,,rashada,rashshada,M_rashada.mp3,F_rashada.mp3,M_rashshada.mp3,F_rashshada.mp3,M_rashshada.mp3,M_rashshada.mp3,rashada,rashshada,رَشَدَ,رَشَّدَ,MSA,"to be well guided, mature","to guide, lead",,,sh,sh,ssh,short,long,consonant,medial,training,,6,rashada,rashshada,,DIFFERENT,SAME,36,22,21
1307,1743041056598,27/03/2025 02:04:16,1743026656598,-4,26/03/2025 18:04:16,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,130,training_trial,sound2,pdcnoi,4,continue,,749.7999999523163,741.9000000000233,749.7999999523163,749.7999999523163,741.9000000000233,749.7999999523163,1,749.7999999523163,0,0,,Audio Clip,Sound2,2,object-253,training_trial,BB,rashada-rashshada,same,,rashada,rashshada,M_rashada.mp3,F_rashada.mp3,M_rashshada.mp3,F_rashshada.mp3,M_rashshada.mp3,M_rashshada.mp3,rashada,rashshada,رَشَدَ,رَشَّدَ,MSA,"to be well guided, mature","to guide, lead",,,sh,sh,ssh,short,long,consonant,medial,training,,6,rashada,rashshada,,DIFFERENT,SAME,36,22,21
1308,1743041056892,27/03/2025 02:04:16,1743026656892,-4,26/03/2025 18:04:16,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,130,training_trial,response,ywcoe5,5,response,SAME,299.49999997613486,291.69999999995343,299.49999997613486,299.49999997613486,291.69999999995343,299.49999997613486,1,299.49999997613486,0,0,key_response,Keyboard Response,Keyboard Response,3,object-329,training_trial,BB,rashada-rashshada,same,,rashada,rashshada,M_rashada.mp3,F_rashada.mp3,M_rashshada.mp3,F_rashshada.mp3,M_rashshada.mp3,M_rashshada.mp3,rashada,rashshada,رَشَدَ,رَشَّدَ,MSA,"to be well guided, mature","to guide, lead",,,sh,sh,ssh,short,long,consonant,medial,training,,6,rashada,rashshada,,DIFFERENT,SAME,36,23,22
1309,1743041057114,27/03/2025 02:04:17,1743026657114,-4,26/03/2025 18:04:17,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,130,training_trial,correct,68extd,6,continue,,232.79999997618143,224.80000000004657,232.79999997618143,232.79999997618143,224.80000000004657,232.79999997618143,1,232.79999997618143,0,0,,Space To Continue,Press Space to Continue,3,object-338,training_trial,BB,rashada-rashshada,same,,rashada,rashshada,M_rashada.mp3,F_rashada.mp3,M_rashshada.mp3,F_rashshada.mp3,M_rashshada.mp3,M_rashshada.mp3,rashada,rashshada,رَشَدَ,رَشَّدَ,MSA,"to be well guided, mature","to guide, lead",,,sh,sh,ssh,short,long,consonant,medial,training,,6,rashada,rashshada,,DIFFERENT,SAME,36,23,22
1310,1743041057607,27/03/2025 02:04:17,1743026657607,-4,26/03/2025 18:04:17,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,131,training_trial,fixation,5y7evd,1,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-213,training_trial,AB,rasaba-rassaba,different,,rasaba,rassaba,M_rasaba.mp3,F_rasaba.mp3,M_rassaba.mp3,F_rassaba.mp3,F_rasaba.mp3,F_rassaba.mp3,rasaba,rassaba,رَسَبَ,رَسَّبَ,MSA,to fail - intransitive,to fail (someone) - transitive,,,s,s,ss,short,long,consonant,medial,training,,8,rasaba,rassaba,,DIFFERENT,SAME,36,23,22
1311,1743041057611,27/03/2025 02:04:17,1743026657611,-4,26/03/2025 18:04:17,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,131,training_trial,sound1,emeov4,2,info,audio started,4.799999928451143,0,4.799999928451143,4.799999928451143,0,4.799999928451143,1,4.799999928451143,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AB,rasaba-rassaba,different,,rasaba,rassaba,M_rasaba.mp3,F_rasaba.mp3,M_rassaba.mp3,F_rassaba.mp3,F_rasaba.mp3,F_rassaba.mp3,rasaba,rassaba,رَسَبَ,رَسَّبَ,MSA,to fail - intransitive,to fail (someone) - transitive,,,s,s,ss,short,long,consonant,medial,training,,8,rasaba,rassaba,,DIFFERENT,SAME,36,23,22
1312,1743041058332,27/03/2025 02:04:18,1743026658332,-4,26/03/2025 18:04:18,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,131,training_trial,sound1,emeov4,2,info,audio finished,725.3000000000466,717,725.3000000000466,725.3000000000466,717,725.3000000000466,1,725.3000000000466,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AB,rasaba-rassaba,different,,rasaba,rassaba,M_rasaba.mp3,F_rasaba.mp3,M_rassaba.mp3,F_rassaba.mp3,F_rasaba.mp3,F_rassaba.mp3,rasaba,rassaba,رَسَبَ,رَسَّبَ,MSA,to fail - intransitive,to fail (someone) - transitive,,,s,s,ss,short,long,consonant,medial,training,,8,rasaba,rassaba,,DIFFERENT,SAME,36,23,22
1313,1743041058341,27/03/2025 02:04:18,1743026658341,-4,26/03/2025 18:04:18,220732,2,task-fb12,,44756740,BLIND,13022560,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1440x900,1440x731,final training complete DIFSAME,,0,AX Discrimination Task,10,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet3,,spreadsheet3,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,training_high_LD,DIFFERENT,SAME,36,training_high_LD,131,training_trial,sound1,emeov4,2,continue,,725.3000000000466,717,725.3000000000466,725.3000000000466,717,725.3000000000466,1,725.3000000000466,0,0,,Audio Clip,Sound1,2,object-215,training_trial,AB,rasaba-rassaba,different,,rasaba,rassaba,M_rasaba.mp3,F_rasaba.mp3,M_rassaba.mp3,F_rassaba.mp3,F_rasaba.mp3,F_rassaba.mp3,rasaba,rassaba,رَسَبَ,رَسَّبَ,MSA,to fail - intransitive,to fail (someone) - transitive,,,s,s,ss,short,long,consonant,medial,training,,8,rasaba,rassaba,,DIFFERENT,SAME,36,23,22
