ID	pair	B1	B2	Slope	X1	X2	Theta	PointVar	exitflag	R	LS	AR	N	status	comment
5031	indent-intent	18.4347152784774	82.0048748870149	-60.0623200919178	4.06896582044805	3.37595823144012	87.0941043681785	12.6585076881497	2	0.916480643314379	160.237816890945	0.105244634946555	102	1	
5031	kata-katta	35.6339720339724	56.0405107980026	-13.8555109950401	2.82772630536337	3.72933380174148	46.7457107999764	24.4459217319653	2	0.325915657118904	597.603089325375	-0.225324140470637	103	1	
5031	reason-risen	19.1738011594315	95.9639150910471	-19.5646984434754	3.90060209658395	4.81495180699751	78.3099743947867	15.7124108411733	2	0.834778551878779	246.87985444182	0.0494041881667436	103	1	
5031	toru-tooru	18.8074646836011	97.9999787687244	-11.0944359693802	4.04043728222918	4.72076797103521	90.2908248244944	20.7525775771548	2	0.678600127597074	430.66947609583	0.199564349440854	97	1	
5096	indent-intent	4.18285161999477	96.405819681441	-157.864423127969	2.45805930599479	2.84430713940887	77.5458722753535	12.1839623078464	2	0.958976434543467	148.448937519023	-0.214175011515678	103	1	
5096	kata-katta	5.96065233912091e-05	96.3555389191569	-29.1097882159466	3.70414594685158	3.21350158981116	106.714121803532	30.4048037060037	2	0.742890082885257	924.452088400619	0.00906643202474638	103	1	
5096	reason-risen	2.44784390903118	97.8050020519293	-45.0515346658257	4.42735677519805	3.48417119381728	78.9607817644978	23.9392780505837	2	0.854020794515436	573.089033583161	-0.0694305768989011	103	1	
5096	toru-tooru	6.14326613915236	93.7503174711204	-85.5088834492618	3.41994348965584	3.35336022125526	99.5568171738239	18.9135800553053	2	0.902472562307124	357.723510508443	-0.11157964560739	102	1	
5098	indent-intent	4.45157400084335	94.3650172040148	-87.9437063160261	3.04548031039649	3.53967658043273	76.9908933532535	14.1432445634287	2	0.94605643826576	200.031366780956	-0.0451223460945914	102	1	
5098	kata-katta	5.00303726891316	82.7758981374666	-12.1646143459761	4.02246000137466	2.92285857163937	98.015693387199	25.130632823505	2	0.60096734900564	631.548706109825	-0.0905408387412097	100	1	
5098	reason-risen	29.9272958578546	64.6952308640157	-226.6371794791	3.72486581423097	3.10213013482346	44.4557151990748	27.5088950070255	2	0.482182901446869	756.73930450755	0.0697916611190354	100	1	
5098	toru-tooru	22.0180889262239	86.1915085368211	-26.1764017826914	3.9862632793383	3.91181307808909	91.6884067745482	21.7424789090609	2	0.767347904541975	472.735389110956	-0.103384676729176	94	1	
5103	indent-intent	4.13896438152163	85.0316973270167	-70.4499509032128	6.03425025718744	2.80968013591473	75.6526481968886	18.3460875960099	2	0.873018489490062	336.578930080469	-0.160416690573665	96	1	
5103	kata-katta	5.90079057781949	98.4223609349599	-6.16123751186825	6.10176885641238	4.84771008602205	100.77643316474	29.227318737302	2	0.377826827172508	854.236160571842	-0.0102097586169892	99	1	
5103	reason-risen	3.50268610065489	87.466600211091	-55.3642991990751	3.62900895376094	3.76093851398661	95.2864162799822	16.1705823018936	2	0.915784699338963	261.487731982315	0.103273217211228	102	1	
5103	toru-tooru	0.000128991705895143	80.5685907931955	-23.7587895765646	4.63216283229745	2.97134166873515	91.9874583986407	34.8570045123456	2	0.628609065907494	1215.01076357368	0.0587869057175042	99	1	
5114	indent-intent	5.8857562418979	98.6565094973017	-61.9002438656017	3.06378758845589	2.98688908184384	67.3347415542926	19.0024435396239	2	0.896651014326861	361.092860476594	0.0719431666677278	102	1	
5114	kata-katta	8.18948252449245	90.5028420035473	-36.4755906372243	2.74223533543055	4.18844955617952	82.2576050605023	23.3879123778228	2	0.819283721888238	546.994445392718	-0.0809310496022563	101	1	
5114	reason-risen	0.000243979157030449	99.1729430038041	-52.106252464013	6.66525963454551	4.54766179211534	4.80069401033072	27.9780653283439	2	0.811858747374325	782.772139517081	0	99	3	refit with mean for all params, to better estimate theta
5114	toru-tooru	4.10760069681378	93.0270886736979	-84.9609152753898	6.52497693113038	3.66501993223654	86.3574612323227	18.3153099856819	2	0.912450298791137	335.450579871618	0.140392935495845	102	1	
5138	indent-intent	19.0797062518677	91.7359184508244	-79.4874438466996	4.72814594270737	4.07244178575854	85.5275704429153	26.2274467189717	2	0.78890501240728	687.878961396498	0.277423076010039	97	1	
5138	kata-katta	5.17874524858045	87.9790665122931	-29.977792571819	3.10346908689586	4.82330210192251	106.54715690794	30.2259399028638	2	0.723982358500631	913.607443011533	-0.0488297993844612	103	1	
5138	reason-risen	3.05277397207861	96.3298435507975	-47.2688620710461	2.23413117543761	3.25325658811775	84.3356841022638	18.281035970567	2	0.902660473507315	334.196276157164	-0.263886056256366	105	1	
5138	toru-tooru	9.08364997754501	81.0646016239366	-42.2613689719901	3.87075246268447	3.77200942216536	84.7113663627444	31.5072621561913	2	0.705681433026133	992.707568578963	-0.032869200050233	104	1	
5156	indent-intent	10.4433350287531	78.4721836529746	-277.062092105711	3.42748569574935	3.07572992131837	85.7846942122205	17.9636565582644	2	0.871052633664157	322.692956943277	-0.0981749271987502	101	1	
5156	kata-katta	39.678459840509	53.8628319764784	-150.126088369857	3.37827730818346	1.92893254497585	75.2588416017225	13.7129109152399	2	0.360529958762324	188.043925769306	-0.117987313690006	103	1	
5156	reason-risen	11.6378224688248	88.2230421926748	-37.8144891272444	2.24665187165944	4.76869224073464	98.4141524815172	18.343766699869	2	0.865745066473022	336.493776739224	-0.18815929041579	102	1	
5156	toru-tooru	30.5839664444701	57.0825749727321	-15.0319886403852	1.00001959509678	4.99997170372805	139.385646062647	18.5647920200816	2	0.486826636723104	344.651502748886	0.0165079390260599	104	1	
