sound1,sound2,duration_step,f0_step_number,time,f0_1,f0_2,f0_interp,method
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.228,298.7,314.6,302.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.238,281.9,314.5,289.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.248,263.7,314.2,275.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.258,244.1,313.9,259.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.268,229.2,313.1,247.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.278,216.8,312.3,237.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.288,206.8,311.4,229.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.298,198.3,310.5,221.9,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.308,190.5,309.3,215.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.318,183.3,308,208.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.328,177.3,304.5,203,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.338,174.3,294.8,198.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.348,NA,275.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.358,NA,250.9,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.368,NA,231.3,NA,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.378,153,220.6,167.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.388,152.4,213.1,165.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.398,150.9,203.9,162.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.408,148.5,191.2,158.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,4,0.418,144.1,175,151.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.078,307.6,276.5,291.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.088,314.3,282.2,297.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.098,321.2,288.3,304.3,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.108,328.4,293.8,310.6,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.118,334.2,298.4,315.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.128,338.5,302,319.7,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.138,341.2,304,322.1,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.148,342.3,305.2,323.2,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.158,343.2,306.8,324.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.168,343.7,309.2,326,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.178,343.4,310.9,326.8,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.188,341.4,312.3,326.5,log
tooru_origin_toru_dur_5,toru_origin_tooru_dur_5,dur_5,3,0.198,337.7,313.3,325.3,log
