"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between","log_rt","median_rt","mad","upper_mad","lower_mad"
"2025-04-28","1","4","High LD","same",1455.8999999999503,1,"yusoo-yuusoo","same","AA","yusoo","yuusoo","M_yusoo.mp3","F_yusoo.mp3","different","Japanese","transport, transportation","mailing, posting","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","DIFFERENT","SAME",26,7.283379545079246,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",1310.1000000000204,1,"haku-haaku","different","AB","haku","haaku","M_haku.mp3","M_haaku.mp3","same","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,7.177858749159641,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",395.3999999999505,1,"toshin-tosshin","same","AA","toshin","tosshin","M_toshin.mp3","M_toshin.mp3","same","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.979897910736391,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",331.3999999999505,1,"shiru-shiiru","same","BB","shiru","shiiru","F_shiiru.mp3","F_shiiru.mp3","same","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","DIFFERENT","SAME",26,5.803326104992313,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",596.1999999999971,1,"haku-haaku","same","BB","haku","haaku","M_haaku.mp3","F_haaku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.390576181243966,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",322.2999999999738,1,"gaki-gakki","same","BB","gaki","gakki","F_gakki.mp3","F_gakki.mp3","same","Japanese","brat, kid","musical instrument","LH(L)/HL","LHH","k","k","kk","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.775482788821311,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",261.19999999995343,1,"iso-isso","same","AA","iso","isso","F_iso.mp3","F_iso.mp3","same","Japanese","seashore","rather, preferably; on the contrary","LH","LHH","s","s","ss","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.565286397402097,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",354.0999999999767,1,"oto-otto","same","AA","oto","otto","M_oto.mp3","F_oto.mp3","different","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.869579359117792,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",1011.6999999999534,1,"obasan-obaasan","different","AB","obasan","obaasan","M_obasan.mp3","M_obaasan.mp3","same","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","DIFFERENT","SAME",26,6.919387363211799,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",327.9999999999709,1,"oto-otto","same","BB","oto","otto","M_otto.mp3","M_otto.mp3","same","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.793013608384055,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",967.5999999999768,1,"oto-otto","different","BA","oto","otto","M_otto.mp3","F_oto.mp3","different","Japanese","sound","husband","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,6.874818778735849,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","same",258.4000000000524,1,"ite-itte","same","BB","ite","itte","M_itte.mp3","M_itte.mp3","same","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,5.554508771908649,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
"2025-04-28","1","4","High LD","different",1152.7000000000116,1,"heta-hetta","different","AB","heta","hetta","M_heta.mp3","F_hetta.mp3","different","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","DIFFERENT","SAME",26,7.049862295606977,6.0914222238034945,0.7139599296488554,8.23330201275006,3.9495424348569284
