"local_date","session","ID","exp_group","response","reaction_time","correct","word_pair","signal","type","word_A","word_B","sound_1","sound_2","speaker_signal","language","gloss_A","gloss_B","pitch_accent_A","pitch_accent_B","phoneme_quality","phoneme_identity_A","phoneme_identity_B","length_A","length_B","segment_type","word_position","task","F_response","J_response","days_between"
"2025-04-03","1","1","Low LD","different",1051.7000000715198,1,"obasan-obaasan","different","AB","obasan","obaasan","M_obasan.mp3","F_obaasan.mp3","different","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",406.9000000238448,1,"yusoo-yuusoo","same","BB","yusoo","yuusoo","F_yuusoo.mp3","F_yuusoo.mp3","same","Japanese","transport, transportation","mailing, posting","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",823.5999999761698,1,"shiru-shiiru","different","AB","shiru","shiiru","F_shiru.mp3","F_shiiru.mp3","same","Japanese","know, understand, be familiar with, sense","force, compel, coerce","LH","LHL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",898.3999999761581,1,"ite-itte","same","AA","ite","itte","F_ite.mp3","F_ite.mp3","same","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1029.0000000715372,1,"nishi-nisshi","different","AB","nishi","nisshi","F_nishi.mp3","M_nisshi.mp3","different","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1666.5,1,"ite-itte","different","BA","ite","itte","M_itte.mp3","F_ite.mp3","different","Japanese","staying","going, saying","LH","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",808.499999976164,1,"jutaku-juutaku","different","AB","jutaku","juutaku","F_jutaku.mp3","F_juutaku.mp3","same","Japanese","entrustment, commission, taking charge","residence, housing","LHH","LHHH","u","u","uu","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",805.5000000715372,1,"kasee-kassee","same","AA","kasee","kassee","F_kasee.mp3","F_kasee.mp3","same","Japanese","Mars","chemical activity","LHH","LHHH","s","s","ss","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",824.999999976164,1,"ishoku-isshoku","different","AB","ishoku","isshoku","F_ishoku.mp3","M_isshoku.mp3","different","Japanese","transplanting, grafting","one color; one kind","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",805.2000000476837,1,"obasan-obaasan","different","BA","obasan","obaasan","M_obaasan.mp3","F_obasan.mp3","different","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",914.9000000715314,1,"heta-hetta","same","AA","heta","hetta","M_heta.mp3","M_heta.mp3","same","Japanese","unskillfull","decreased","LH(L)","LHH","t","t","tt","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",1033.1999999999534,1,"ojisan-ojiisan","different","AB","ojisan","ojiisan","F_ojisan.mp3","F_ojiisan.mp3","same","Japanese","uncle, adult/middle-aged man","grandpa, elderly man","LHHH","LHLLL","i","i","ii","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",777.6000000000058,1,"toshin-tosshin","same","AA","toshin","tosshin","F_toshin.mp3","M_toshin.mp3","different","Japanese","city center, downtown","rush, dash, charge","LHH","LHHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",756.5000000715372,1,"obasan-obaasan","same","AA","obasan","obaasan","M_obasan.mp3","M_obasan.mp3","same","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","different",988,1,"nishi-nisshi","different","BA","nishi","nisshi","M_nisshi.mp3","M_nishi.mp3","same","Japanese","west","log, journal","LH","LHH","sh","sh","ssh","short","long","consonant","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",448.499999976164,1,"obasan-obaasan","same","AA","obasan","obaasan","M_obasan.mp3","M_obasan.mp3","same","Japanese","aunt, adult/middle-aged woman","grandma, elderly woman","LHHH","LHLLL","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
"2025-04-03","1","1","Low LD","same",1106.5999999761698,1,"haku-haaku","same","BB","haku","haaku","M_haaku.mp3","F_haaku.mp3","different","Japanese","put on/wear lower-body clothes/footwear","grasp, catch, understand","LH","LHH","a","a","aa","short","long","vowel","medial","training","SAME","DIFFERENT",11
